,Frame_Name,Person,Camera_Angle,Frame_Number,Position
0,eric_DTL_1_frame0.jpg,eric_DTL_1,FO,frame0,P1
1,tom_DTL_1_frame0.jpg,tom_DTL_1,FO,frame0,P1
2,tom_DTL_2_frame0.jpg,tom_DTL_2,FO,frame0,P1
3,eric_DTL_1_frame1.jpg,eric_DTL_1,FO,frame1,P1
4,eric_DTL_1_frame2.jpg,eric_DTL_1,FO,frame2,P1
5,eric_DTL_1_frame3.jpg,eric_DTL_1,FO,frame3,P1
6,rob_DTL_3_frame3.jpg,rob_DTL_3,FO,frame3,P1
7,eric_DTL_1_frame4.jpg,eric_DTL_1,FO,frame4,P1
8,rob_DTL_3_frame4.jpg,rob_DTL_3,FO,frame4,P1
9,eric_DTL_1_frame5.jpg,eric_DTL_1,FO,frame5,P1
10,rob_DTL_3_frame5.jpg,rob_DTL_3,FO,frame5,P1
11,eric_DTL_1_frame6.jpg,eric_DTL_1,FO,frame6,P1
12,rob_DTL_3_frame6.jpg,rob_DTL_3,FO,frame6,P1
13,tom_DTL_2_frame6.jpg,tom_DTL_2,FO,frame6,P1
14,random_1_frame8.jpg,random_1,FO,frame8,P1
15,rob_DTL_3_frame8.jpg,rob_DTL_3,FO,frame8,P1
16,tom_DTL_2_frame8.jpg,tom_DTL_2,FO,frame8,P1
17,random_1_frame9.jpg,random_1,FO,frame9,P1
18,tom_DTL_2_frame9.jpg,tom_DTL_2,FO,frame9,P1
19,random_1_frame10.jpg,random_1,FO,frame10,P1
21,random_1_frame11.jpg,random_1,FO,frame11,P1
22,tom_DTL_2_frame11.jpg,tom_DTL_2,FO,frame11,P1
23,random_1_frame12.jpg,random_1,FO,frame12,P1
24,tom_DTL_2_frame12.jpg,tom_DTL_2,FO,frame12,P1
25,random_1_frame13.jpg,random_1,FO,frame13,P1
27,tom_DTL_1_frame16.jpg,tom_DTL_1,FO,frame16,P1
28,rob_DTL_2_frame18.jpg,rob_DTL_2,FO,frame18,P1
29,tom_DTL_1_frame18.jpg,tom_DTL_1,FO,frame18,P1
30,rob_DTL_2_frame20.jpg,rob_DTL_2,FO,frame20,P1
31,tom_DTL_1_frame20.jpg,tom_DTL_1,FO,frame20,P1
33,tom_DTL_1_frame21.jpg,tom_DTL_1,FO,frame21,P1
34,rob_DTL_2_frame22.jpg,rob_DTL_2,FO,frame22,P1
35,tom_DTL_1_frame22.jpg,tom_DTL_1,FO,frame22,P1
36,rob_DTL_2_frame23.jpg,rob_DTL_2,FO,frame23,P1
37,tom_DTL_1_frame23.jpg,tom_DTL_1,FO,frame23,P1
38,rob_DTL_2_frame24.jpg,rob_DTL_2,FO,frame24,P1
39,grant_DTL_1_frame58.jpg,grant_DTL_1,FO,frame58,P1
40,grant_DTL_1_frame80.jpg,grant_DTL_1,FO,frame80,P1
41,grant_DTL_1_frame90.jpg,grant_DTL_1,FO,frame90,P1
42,grant_DTL_1_frame96.jpg,grant_DTL_1,FO,frame96,P1
43,grant_DTL_1_frame108.jpg,grant_DTL_1,FO,frame108,P1
44,grant_DTL_1_frame112.jpg,grant_DTL_1,FO,frame112,P1
45,grant_DTL_1_frame120.jpg,grant_DTL_1,FO,frame120,P1
46,grant_DTL_1_frame124.jpg,grant_DTL_1,FO,frame124,P1
47,grant_DTL_1_frame126.jpg,grant_DTL_1,FO,frame126,P1
49,rob_DTL_1_frame780.jpg,rob_DTL_1,FO,frame780,P1
50,rob_DTL_1_frame788.jpg,rob_DTL_1,FO,frame788,P1
51,rob_DTL_1_frame795.jpg,rob_DTL_1,FO,frame795,P1
52,rob_DTL_1_frame799.jpg,rob_DTL_1,FO,frame799,P1
53,rob_DTL_1_frame803.jpg,rob_DTL_1,FO,frame803,P1
54,rob_DTL_1_frame809.jpg,rob_DTL_1,FO,frame809,P1
55,rob_DTL_1_frame815.jpg,rob_DTL_1,FO,frame815,P1
56,eric_DTL_1_frame39.jpg,eric_DTL_1,FO,frame39,P10
57,eric_DTL_1_frame40.jpg,eric_DTL_1,FO,frame40,P10
58,rob_DTL_3_frame40.jpg,rob_DTL_3,FO,frame40,P10
59,eric_DTL_1_frame41.jpg,eric_DTL_1,FO,frame41,P10
60,rob_DTL_3_frame41.jpg,rob_DTL_3,FO,frame41,P10
61,eric_DTL_1_frame42.jpg,eric_DTL_1,FO,frame42,P10
62,rob_DTL_3_frame42.jpg,rob_DTL_3,FO,frame42,P10
63,eric_DTL_1_frame43.jpg,eric_DTL_1,FO,frame43,P10
64,eric_DTL_1_frame44.jpg,eric_DTL_1,FO,frame44,P10
65,rob_DTL_3_frame44.jpg,rob_DTL_3,FO,frame44,P10
66,eric_DTL_1_frame45.jpg,eric_DTL_1,FO,frame45,P10
67,random_1_frame46.jpg,random_1,FO,frame46,P10
69,random_1_frame47.jpg,random_1,FO,frame47,P10
70,rob_DTL_3_frame47.jpg,rob_DTL_3,FO,frame47,P10
71,tom_DTL_2_frame47.jpg,tom_DTL_2,FO,frame47,P10
72,random_1_frame48.jpg,random_1,FO,frame48,P10
73,rob_DTL_3_frame48.jpg,rob_DTL_3,FO,frame48,P10
75,random_1_frame49.jpg,random_1,FO,frame49,P10
76,tom_DTL_2_frame49.jpg,tom_DTL_2,FO,frame49,P10
78,rob_DTL_2_frame53.jpg,rob_DTL_2,FO,frame53,P10
79,tom_DTL_1_frame59.jpg,tom_DTL_1,FO,frame59,P10
80,tom_DTL_1_frame60.jpg,tom_DTL_1,FO,frame60,P10
81,tom_DTL_1_frame61.jpg,tom_DTL_1,FO,frame61,P10
82,tom_DTL_1_frame62.jpg,tom_DTL_1,FO,frame62,P10
83,tom_DTL_1_frame63.jpg,tom_DTL_1,FO,frame63,P10
84,tom_DTL_1_frame64.jpg,tom_DTL_1,FO,frame64,P10
86,grant_DTL_1_frame396.jpg,grant_DTL_1,FO,frame396,P10
87,grant_DTL_1_frame398.jpg,grant_DTL_1,FO,frame398,P10
88,grant_DTL_1_frame405.jpg,grant_DTL_1,FO,frame405,P10
89,grant_DTL_1_frame433.jpg,grant_DTL_1,FO,frame433,P10
90,grant_DTL_1_frame451.jpg,grant_DTL_1,FO,frame451,P10
91,grant_DTL_1_frame467.jpg,grant_DTL_1,FO,frame467,P10
92,grant_DTL_1_frame477.jpg,grant_DTL_1,FO,frame477,P10
93,grant_DTL_1_frame503.jpg,grant_DTL_1,FO,frame503,P10
95,rob_DTL_1_frame951.jpg,rob_DTL_1,FO,frame951,P10
96,rob_DTL_1_frame953.jpg,rob_DTL_1,FO,frame953,P10
97,rob_DTL_1_frame955.jpg,rob_DTL_1,FO,frame955,P10
98,rob_DTL_1_frame957.jpg,rob_DTL_1,FO,frame957,P10
99,rob_DTL_1_frame959.jpg,rob_DTL_1,FO,frame959,P10
100,rob_DTL_1_frame961.jpg,rob_DTL_1,FO,frame961,P10
101,rob_DTL_1_frame963.jpg,rob_DTL_1,FO,frame963,P10
102,rob_DTL_1_frame965.jpg,rob_DTL_1,FO,frame965,P10
103,eric_DTL_1_frame7.jpg,eric_DTL_1,FO,frame7,P2
104,eric_DTL_1_frame8.jpg,eric_DTL_1,FO,frame8,P2
105,eric_DTL_1_frame9.jpg,eric_DTL_1,FO,frame9,P2
106,eric_DTL_1_frame10.jpg,eric_DTL_1,FO,frame10,P2
107,rob_DTL_3_frame10.jpg,rob_DTL_3,FO,frame10,P2
108,eric_DTL_1_frame11.jpg,eric_DTL_1,FO,frame11,P2
109,rob_DTL_3_frame11.jpg,rob_DTL_3,FO,frame11,P2
110,eric_DTL_1_frame12.jpg,eric_DTL_1,FO,frame12,P2
111,rob_DTL_3_frame12.jpg,rob_DTL_3,FO,frame12,P2
112,eric_DTL_1_frame13.jpg,eric_DTL_1,FO,frame13,P2
113,tom_DTL_2_frame13.jpg,tom_DTL_2,FO,frame13,P2
114,tom_DTL_2_frame14.jpg,tom_DTL_2,FO,frame14,P2
115,random_1_frame15.jpg,random_1,FO,frame15,P2
117,random_1_frame16.jpg,random_1,FO,frame16,P2
118,tom_DTL_2_frame16.jpg,tom_DTL_2,FO,frame16,P2
119,random_1_frame17.jpg,random_1,FO,frame17,P2
120,tom_DTL_2_frame17.jpg,tom_DTL_2,FO,frame17,P2
121,random_1_frame18.jpg,random_1,FO,frame18,P2
123,random_1_frame19.jpg,random_1,FO,frame19,P2
124,random_1_frame20.jpg,random_1,FO,frame20,P2
125,random_1_frame21.jpg,random_1,FO,frame21,P2
126,random_1_frame22.jpg,random_1,FO,frame22,P2
128,rob_DTL_2_frame25.jpg,rob_DTL_2,FO,frame25,P2
129,tom_DTL_1_frame25.jpg,tom_DTL_1,FO,frame25,P2
130,rob_DTL_2_frame26.jpg,rob_DTL_2,FO,frame26,P2
131,tom_DTL_1_frame26.jpg,tom_DTL_1,FO,frame26,P2
132,rob_DTL_2_frame27.jpg,rob_DTL_2,FO,frame27,P2
133,tom_DTL_1_frame27.jpg,tom_DTL_1,FO,frame27,P2
134,rob_DTL_2_frame28.jpg,rob_DTL_2,FO,frame28,P2
135,tom_DTL_1_frame28.jpg,tom_DTL_1,FO,frame28,P2
136,tom_DTL_1_frame29.jpg,tom_DTL_1,FO,frame29,P2
137,tom_DTL_1_frame30.jpg,tom_DTL_1,FO,frame30,P2
138,tom_DTL_1_frame31.jpg,tom_DTL_1,FO,frame31,P2
139,grant_DTL_1_frame142.jpg,grant_DTL_1,FO,frame142,P2
141,grant_DTL_1_frame150.jpg,grant_DTL_1,FO,frame150,P2
142,grant_DTL_1_frame156.jpg,grant_DTL_1,FO,frame156,P2
143,grant_DTL_1_frame160.jpg,grant_DTL_1,FO,frame160,P2
144,grant_DTL_1_frame162.jpg,grant_DTL_1,FO,frame162,P2
145,grant_DTL_1_frame166.jpg,grant_DTL_1,FO,frame166,P2
146,grant_DTL_1_frame168.jpg,grant_DTL_1,FO,frame168,P2
147,rob_DTL_1_frame817.jpg,rob_DTL_1,FO,frame817,P2
148,rob_DTL_1_frame819.jpg,rob_DTL_1,FO,frame819,P2
149,rob_DTL_1_frame821.jpg,rob_DTL_1,FO,frame821,P2
150,rob_DTL_1_frame823.jpg,rob_DTL_1,FO,frame823,P2
151,rob_DTL_1_frame825.jpg,rob_DTL_1,FO,frame825,P2
152,rob_DTL_1_frame827.jpg,rob_DTL_1,FO,frame827,P2
153,rob_DTL_1_frame829.jpg,rob_DTL_1,FO,frame829,P2
154,rob_DTL_1_frame831.jpg,rob_DTL_1,FO,frame831,P2
155,eric_DTL_1_frame14.jpg,eric_DTL_1,FO,frame14,P3
156,eric_DTL_1_frame15.jpg,eric_DTL_1,FO,frame15,P3
157,rob_DTL_3_frame15.jpg,rob_DTL_3,FO,frame15,P3
158,eric_DTL_1_frame16.jpg,eric_DTL_1,FO,frame16,P3
159,rob_DTL_3_frame16.jpg,rob_DTL_3,FO,frame16,P3
160,eric_DTL_1_frame17.jpg,eric_DTL_1,FO,frame17,P3
161,rob_DTL_3_frame17.jpg,rob_DTL_3,FO,frame17,P3
162,eric_DTL_1_frame18.jpg,eric_DTL_1,FO,frame18,P3
163,rob_DTL_3_frame18.jpg,rob_DTL_3,FO,frame18,P3
164,eric_DTL_1_frame19.jpg,eric_DTL_1,FO,frame19,P3
165,tom_DTL_2_frame19.jpg,tom_DTL_2,FO,frame19,P3
166,eric_DTL_1_frame20.jpg,eric_DTL_1,FO,frame20,P3
168,tom_DTL_2_frame21.jpg,tom_DTL_2,FO,frame21,P3
169,tom_DTL_2_frame22.jpg,tom_DTL_2,FO,frame22,P3
170,random_1_frame23.jpg,random_1,FO,frame23,P3
171,tom_DTL_2_frame23.jpg,tom_DTL_2,FO,frame23,P3
172,random_1_frame24.jpg,random_1,FO,frame24,P3
173,tom_DTL_2_frame24.jpg,tom_DTL_2,FO,frame24,P3
174,random_1_frame25.jpg,random_1,FO,frame25,P3
176,random_1_frame26.jpg,random_1,FO,frame26,P3
177,rob_DTL_2_frame29.jpg,rob_DTL_2,FO,frame29,P3
178,rob_DTL_2_frame30.jpg,rob_DTL_2,FO,frame30,P3
179,rob_DTL_2_frame31.jpg,rob_DTL_2,FO,frame31,P3
180,rob_DTL_2_frame32.jpg,rob_DTL_2,FO,frame32,P3
182,rob_DTL_2_frame33.jpg,rob_DTL_2,FO,frame33,P3
183,tom_DTL_1_frame33.jpg,tom_DTL_1,FO,frame33,P3
184,rob_DTL_2_frame34.jpg,rob_DTL_2,FO,frame34,P3
185,tom_DTL_1_frame34.jpg,tom_DTL_1,FO,frame34,P3
186,tom_DTL_1_frame35.jpg,tom_DTL_1,FO,frame35,P3
187,tom_DTL_1_frame36.jpg,tom_DTL_1,FO,frame36,P3
188,tom_DTL_1_frame37.jpg,tom_DTL_1,FO,frame37,P3
189,tom_DTL_1_frame38.jpg,tom_DTL_1,FO,frame38,P3
190,tom_DTL_1_frame39.jpg,tom_DTL_1,FO,frame39,P3
191,grant_DTL_1_frame176.jpg,grant_DTL_1,FO,frame176,P3
192,grant_DTL_1_frame180.jpg,grant_DTL_1,FO,frame180,P3
193,grant_DTL_1_frame184.jpg,grant_DTL_1,FO,frame184,P3
194,grant_DTL_1_frame190.jpg,grant_DTL_1,FO,frame190,P3
195,grant_DTL_1_frame194.jpg,grant_DTL_1,FO,frame194,P3
196,grant_DTL_1_frame200.jpg,grant_DTL_1,FO,frame200,P3
197,grant_DTL_1_frame204.jpg,grant_DTL_1,FO,frame204,P3
198,grant_DTL_1_frame207.jpg,grant_DTL_1,FO,frame207,P3
199,rob_DTL_1_frame835.jpg,rob_DTL_1,FO,frame835,P3
200,rob_DTL_1_frame837.jpg,rob_DTL_1,FO,frame837,P3
201,rob_DTL_1_frame841.jpg,rob_DTL_1,FO,frame841,P3
202,rob_DTL_1_frame843.jpg,rob_DTL_1,FO,frame843,P3
203,rob_DTL_1_frame847.jpg,rob_DTL_1,FO,frame847,P3
205,rob_DTL_1_frame853.jpg,rob_DTL_1,FO,frame853,P3
206,rob_DTL_1_frame855.jpg,rob_DTL_1,FO,frame855,P3
207,eric_DTL_1_frame21.jpg,eric_DTL_1,FO,frame21,P4
208,rob_DTL_3_frame21.jpg,rob_DTL_3,FO,frame21,P4
209,eric_DTL_1_frame22.jpg,eric_DTL_1,FO,frame22,P4
210,rob_DTL_3_frame22.jpg,rob_DTL_3,FO,frame22,P4
211,eric_DTL_1_frame23.jpg,eric_DTL_1,FO,frame23,P4
212,rob_DTL_3_frame23.jpg,rob_DTL_3,FO,frame23,P4
213,eric_DTL_1_frame24.jpg,eric_DTL_1,FO,frame24,P4
214,rob_DTL_3_frame24.jpg,rob_DTL_3,FO,frame24,P4
216,eric_DTL_1_frame26.jpg,eric_DTL_1,FO,frame26,P4
217,tom_DTL_2_frame26.jpg,tom_DTL_2,FO,frame26,P4
218,eric_DTL_1_frame27.jpg,eric_DTL_1,FO,frame27,P4
219,random_1_frame27.jpg,random_1,FO,frame27,P4
220,tom_DTL_2_frame27.jpg,tom_DTL_2,FO,frame27,P4
221,random_1_frame28.jpg,random_1,FO,frame28,P4
222,tom_DTL_2_frame28.jpg,tom_DTL_2,FO,frame28,P4
223,random_1_frame29.jpg,random_1,FO,frame29,P4
224,tom_DTL_2_frame29.jpg,tom_DTL_2,FO,frame29,P4
226,random_1_frame31.jpg,random_1,FO,frame31,P4
227,tom_DTL_2_frame31.jpg,tom_DTL_2,FO,frame31,P4
228,random_1_frame32.jpg,random_1,FO,frame32,P4
229,tom_DTL_2_frame32.jpg,tom_DTL_2,FO,frame32,P4
230,random_1_frame33.jpg,random_1,FO,frame33,P4
232,rob_DTL_2_frame36.jpg,rob_DTL_2,FO,frame36,P4
233,rob_DTL_2_frame37.jpg,rob_DTL_2,FO,frame37,P4
234,rob_DTL_2_frame38.jpg,rob_DTL_2,FO,frame38,P4
235,rob_DTL_2_frame39.jpg,rob_DTL_2,FO,frame39,P4
236,rob_DTL_2_frame40.jpg,rob_DTL_2,FO,frame40,P4
237,tom_DTL_1_frame40.jpg,tom_DTL_1,FO,frame40,P4
238,tom_DTL_1_frame41.jpg,tom_DTL_1,FO,frame41,P4
239,tom_DTL_1_frame42.jpg,tom_DTL_1,FO,frame42,P4
240,tom_DTL_1_frame43.jpg,tom_DTL_1,FO,frame43,P4
241,tom_DTL_1_frame44.jpg,tom_DTL_1,FO,frame44,P4
242,tom_DTL_1_frame45.jpg,tom_DTL_1,FO,frame45,P4
244,grant_DTL_1_frame220.jpg,grant_DTL_1,FO,frame220,P4
245,grant_DTL_1_frame226.jpg,grant_DTL_1,FO,frame226,P4
246,grant_DTL_1_frame262.jpg,grant_DTL_1,FO,frame262,P4
247,grant_DTL_1_frame282.jpg,grant_DTL_1,FO,frame282,P4
248,grant_DTL_1_frame284.jpg,grant_DTL_1,FO,frame284,P4
249,rob_DTL_1_frame859.jpg,rob_DTL_1,FO,frame859,P4
250,rob_DTL_1_frame867.jpg,rob_DTL_1,FO,frame867,P4
251,rob_DTL_1_frame871.jpg,rob_DTL_1,FO,frame871,P4
252,rob_DTL_1_frame879.jpg,rob_DTL_1,FO,frame879,P4
253,rob_DTL_1_frame891.jpg,rob_DTL_1,FO,frame891,P4
254,rob_DTL_1_frame895.jpg,rob_DTL_1,FO,frame895,P4
255,rob_DTL_3_frame27.jpg,rob_DTL_3,FO,frame27,P5
256,eric_DTL_1_frame28.jpg,eric_DTL_1,FO,frame28,P5
257,rob_DTL_3_frame28.jpg,rob_DTL_3,FO,frame28,P5
258,eric_DTL_1_frame29.jpg,eric_DTL_1,FO,frame29,P5
259,rob_DTL_3_frame29.jpg,rob_DTL_3,FO,frame29,P5
261,eric_DTL_1_frame31.jpg,eric_DTL_1,FO,frame31,P5
262,tom_DTL_2_frame33.jpg,tom_DTL_2,FO,frame33,P5
263,random_1_frame34.jpg,random_1,FO,frame34,P5
264,tom_DTL_2_frame34.jpg,tom_DTL_2,FO,frame34,P5
265,random_1_frame35.jpg,random_1,FO,frame35,P5
267,random_1_frame36.jpg,random_1,FO,frame36,P5
268,rob_DTL_2_frame41.jpg,rob_DTL_2,FO,frame41,P5
269,rob_DTL_2_frame42.jpg,rob_DTL_2,FO,frame42,P5
270,rob_DTL_2_frame43.jpg,rob_DTL_2,FO,frame43,P5
272,tom_DTL_1_frame47.jpg,tom_DTL_1,FO,frame47,P5
273,tom_DTL_1_frame48.jpg,tom_DTL_1,FO,frame48,P5
275,grant_DTL_1_frame290.jpg,grant_DTL_1,FO,frame290,P5
276,grant_DTL_1_frame296.jpg,grant_DTL_1,FO,frame296,P5
277,grant_DTL_1_frame300.jpg,grant_DTL_1,FO,frame300,P5
278,grant_DTL_1_frame304.jpg,grant_DTL_1,FO,frame304,P5
279,grant_DTL_1_frame308.jpg,grant_DTL_1,FO,frame308,P5
280,grant_DTL_1_frame310.jpg,grant_DTL_1,FO,frame310,P5
281,rob_DTL_1_frame901.jpg,rob_DTL_1,FO,frame901,P5
282,rob_DTL_1_frame903.jpg,rob_DTL_1,FO,frame903,P5
283,rob_DTL_1_frame905.jpg,rob_DTL_1,FO,frame905,P5
284,rob_DTL_1_frame907.jpg,rob_DTL_1,FO,frame907,P5
285,rob_DTL_1_frame909.jpg,rob_DTL_1,FO,frame909,P5
286,rob_DTL_1_frame911.jpg,rob_DTL_1,FO,frame911,P5
287,rob_DTL_1_frame913.jpg,rob_DTL_1,FO,frame913,P5
288,rob_DTL_1_frame915.jpg,rob_DTL_1,FO,frame915,P5
289,eric_DTL_1_frame32.jpg,eric_DTL_1,FO,frame32,P6
290,tom_DTL_2_frame36.jpg,tom_DTL_2,FO,frame36,P6
291,random_1_frame37.jpg,random_1,FO,frame37,P6
292,rob_DTL_2_frame44.jpg,rob_DTL_2,FO,frame44,P6
294,grant_DTL_1_frame314.jpg,grant_DTL_1,FO,frame314,P6
295,grant_DTL_1_frame315.jpg,grant_DTL_1,FO,frame315,P6
296,grant_DTL_1_frame316.jpg,grant_DTL_1,FO,frame316,P6
297,grant_DTL_1_frame317.jpg,grant_DTL_1,FO,frame317,P6
298,grant_DTL_1_frame318.jpg,grant_DTL_1,FO,frame318,P6
299,grant_DTL_1_frame320.jpg,grant_DTL_1,FO,frame320,P6
300,grant_DTL_1_frame321.jpg,grant_DTL_1,FO,frame321,P6
301,grant_DTL_1_frame322.jpg,grant_DTL_1,FO,frame322,P6
302,rob_DTL_1_frame916.jpg,rob_DTL_1,FO,frame916,P6
304,rob_DTL_1_frame918.jpg,rob_DTL_1,FO,frame918,P6
305,rob_DTL_1_frame919.jpg,rob_DTL_1,FO,frame919,P6
306,rob_DTL_1_frame920.jpg,rob_DTL_1,FO,frame920,P6
307,rob_DTL_1_frame921.jpg,rob_DTL_1,FO,frame921,P6
308,rob_DTL_1_frame922.jpg,rob_DTL_1,FO,frame922,P6
309,rob_DTL_3_frame30.jpg,rob_DTL_3,FO,frame30,P7
310,rob_DTL_3_frame32.jpg,rob_DTL_3,FO,frame32,P7
311,eric_DTL_1_frame33.jpg,eric_DTL_1,FO,frame33,P7
312,eric_DTL_1_frame34.jpg,eric_DTL_1,FO,frame34,P7
313,tom_DTL_2_frame37.jpg,tom_DTL_2,FO,frame37,P7
314,random_1_frame38.jpg,random_1,FO,frame38,P7
315,tom_DTL_2_frame38.jpg,tom_DTL_2,FO,frame38,P7
316,random_1_frame39.jpg,random_1,FO,frame39,P7
317,tom_DTL_2_frame39.jpg,tom_DTL_2,FO,frame39,P7
319,rob_DTL_2_frame45.jpg,rob_DTL_2,FO,frame45,P7
320,rob_DTL_2_frame46.jpg,rob_DTL_2,FO,frame46,P7
321,rob_DTL_2_frame47.jpg,rob_DTL_2,FO,frame47,P7
