Frame_Name,Person,Camera_Angle,Frame_Number,Position
eric_1_frame27.jpg,eric_1,FO,frame27,P1
grant_frame84.jpg,grant,FO,frame84,P1
jess_1_frame93.jpg,jess_1,FO,frame93,P1
jess_2_frame200.jpg,jess_2,FO,frame200,P1
nick_1_frame18.jpg,nick_1,FO,frame18,P1
nick_2_frame19.jpg,nick_2,FO,frame19,P1
rob_1_frame2464.jpg,rob_1,FO,frame2464,P1
rob_2_frame16.jpg,rob_2,FO,frame16,P1
tom_1_frame18.jpg,tom_1,FO,frame18,P1
tom_2_frame27.jpg,tom_2,FO,frame27,P1
tom_3_frame12.jpg,tom_3,FO,frame12,P1
eric_1_frame44.jpg,eric_1,FO,frame44,P2
grant_frame155.jpg,grant,FO,frame155,P2
jess_1_frame114.jpg,jess_1,FO,frame114,P2
jess_2_frame589.jpg,jess_2,FO,frame589,P2
nick_1_frame23.jpg,nick_1,FO,frame23,P2
nick_2_frame26.jpg,nick_2,FO,frame26,P2
rob_1_frame3604.jpg,rob_1,FO,frame3604,P2
rob_2_frame25.jpg,rob_2,FO,frame25,P2
tom_1_frame28.jpg,tom_1,FO,frame28,P2
tom_2_frame62.jpg,tom_2,FO,frame62,P2
tom_3_frame37.jpg,tom_3,FO,frame37,P2
eric_1_frame64.jpg,eric_1,FO,frame64,P3
grant_frame214.jpg,grant,FO,frame214,P3
jess_1_frame134.jpg,jess_1,FO,frame134,P3
jess_2_frame624.jpg,jess_2,FO,frame624,P3
nick_1_frame29.jpg,nick_1,FO,frame29,P3
nick_2_frame35.jpg,nick_2,FO,frame35,P3
rob_1_frame4706.jpg,rob_1,FO,frame4706,P3
tom_1_frame36.jpg,tom_1,FO,frame36,P3
tom_2_frame89.jpg,tom_2,FO,frame89,P3
tom_3_frame54.jpg,tom_3,FO,frame54,P3
eric_1_frame76.jpg,eric_1,FO,frame76,P4
grant_frame259.jpg,grant,FO,frame259,P4
jess_1_frame160.jpg,jess_1,FO,frame160,P4
jess_2_frame672.jpg,jess_2,FO,frame672,P4
nick_1_frame33.jpg,nick_1,FO,frame33,P4
nick_2_frame38.jpg,nick_2,FO,frame38,P4
rob_1_frame2833.jpg,rob_1,FO,frame2833,P4
rob_2_frame48.jpg,rob_2,FO,frame48,P4
