class_id,class_name,precision_model1,recall_model1,f1_score_model1,support_model1,true_positives_model1,false_positives_model1,false_negatives_model1,true_negatives_model1,accuracy_model1,precision_model2,recall_model2,f1_score_model2,support_model2,true_positives_model2,false_positives_model2,false_negatives_model2,true_negatives_model2,accuracy_model2,accuracy_improvement,accuracy_improvement_pct,precision_improvement,precision_improvement_pct,recall_improvement,recall_improvement_pct,f1_score_improvement,f1_score_improvement_pct
0,P1,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,0.9655172413793104,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P2,0.7741935483870968,0.8275862068965517,0.8,29,24,7,5,121,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,29,24,5,5,123,0.8275862068965517,0.0,0.0,0.05339265850945496,6.896551724137932,0.0,0.0,0.027586206896551668,3.4482758620689586
2,P3,1.0,0.6521739130434783,0.7894736842105263,23,15,0,8,134,0.6521739130434783,1.0,0.782608695652174,0.8780487804878049,23,18,0,5,134,0.782608695652174,0.13043478260869568,20.000000000000004,0.0,0.0,0.13043478260869568,20.000000000000004,0.08857509627727855,11.21951219512195
3,P4,0.7857142857142857,0.8461538461538461,0.8148148148148148,13,11,3,2,141,0.8461538461538461,0.7647058823529411,1.0,0.8666666666666667,13,13,4,0,140,1.0,0.15384615384615385,18.181818181818183,-0.021008403361344574,-2.673796791443855,0.15384615384615385,18.181818181818183,0.05185185185185193,6.363636363636373
4,P5,0.0,0.0,0.0,5,0,2,5,150,0.0,0.0,0.0,0.0,5,0,0,5,152,0.0,0.0,,0.0,,0.0,,0.0,
5,P6,0.2666666666666666,0.8,0.4,5,4,11,1,141,0.8,0.3636363636363636,0.8,0.5,5,4,7,1,145,0.8,0.0,0.0,0.09696969696969698,36.363636363636374,0.0,0.0,0.09999999999999998,24.999999999999993
6,P7,1.0,0.625,0.7692307692307693,8,5,0,3,149,0.625,1.0,0.875,0.9333333333333332,8,7,0,1,149,0.875,0.25,40.0,0.0,0.0,0.25,40.0,0.16410256410256396,21.333333333333314
7,P8,1.0,1.0,1.0,11,11,0,0,146,1.0,1.0,1.0,1.0,11,11,0,0,146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,P9,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,11,1,4,141,0.7333333333333333,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,11,1,4,141,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,P10,1.0,1.0,1.0,19,19,0,0,138,1.0,1.0,1.0,1.0,19,19,0,0,138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
