class_id,class_name,precision,recall,f1_score,support,true_positives,false_positives,false_negatives,true_negatives,accuracy
0,P1,1.0,0.6206896551724138,0.7659574468085106,29,18,0,11,128,0.6206896551724138
1,P2,0.9310344827586207,0.9310344827586207,0.9310344827586207,29,27,2,2,126,0.9310344827586207
2,P3,0.8518518518518519,1.0,0.92,23,23,4,0,130,1.0
3,P4,0.1111111111111111,0.07692307692307693,0.09090909090909091,13,1,8,12,136,0.07692307692307693
4,P5,0.0,0.0,0.0,5,0,10,5,142,0.0
5,P6,1.0,0.2,0.3333333333333333,5,1,0,4,152,0.2
6,P7,0.4,1.0,0.5714285714285714,8,8,12,0,137,1.0
7,P8,0.6153846153846154,0.7272727272727273,0.6666666666666666,11,8,5,3,141,0.7272727272727273
8,P9,0.5454545454545454,0.8,0.6486486486486487,15,12,10,3,132,0.8
9,P10,1.0,0.42105263157894735,0.5925925925925926,19,8,0,11,138,0.42105263157894735
