class_id,class_name,precision,recall,f1_score,support,true_positives,false_positives,false_negatives,true_negatives,tuning_type,layer_tuning,model_architecture,model_name
0,P1,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
1,P2,0.8,0.8275862068965517,0.8135593220338984,29,24,6,5,122,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
2,P3,1.0,0.6521739130434783,0.7894736842105263,23,15,0,8,134,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
3,P4,0.6190476190476191,1.0,0.7647058823529411,13,13,8,0,136,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
4,P5,0.0,0.0,0.0,5,0,1,5,151,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
5,P6,0.1052631578947368,0.4,0.1666666666666666,5,2,17,3,135,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
6,P7,0.8571428571428571,0.75,0.8,8,6,1,2,148,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
7,P8,0.9090909090909092,0.9090909090909092,0.9090909090909092,11,10,1,1,145,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
8,P9,0.0,0.0,0.0,15,0,2,15,140,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
9,P10,1.0,0.9473684210526316,0.972972972972973,19,18,0,1,138,bayesian,_layertuning,cnn,bayesian__layertuning_cnn
0,P1,0.9333333333333332,0.9655172413793104,0.9491525423728814,29,28,2,1,126,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
1,P2,0.84375,0.9310344827586208,0.8852459016393442,29,27,5,2,123,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
2,P3,1.0,0.6956521739130435,0.8205128205128205,23,16,0,7,134,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
3,P4,0.65,1.0,0.7878787878787878,13,13,7,0,137,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
4,P5,0.0,0.0,0.0,5,0,0,5,152,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
5,P6,0.2857142857142857,0.4,0.3333333333333333,5,2,5,3,147,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
6,P7,1.0,1.0,1.0,8,8,0,0,149,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
7,P8,1.0,1.0,1.0,11,11,0,0,146,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
8,P9,0.8571428571428571,0.8,0.8275862068965517,15,12,2,3,140,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
9,P10,1.0,1.0,1.0,19,19,0,0,138,bayesian,_layertuning,mlp,bayesian__layertuning_mlp
0,P1,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,bayesian,none,cnn,bayesian_none_cnn
1,P2,0.9230769230769232,0.8275862068965517,0.8727272727272727,29,24,2,5,126,bayesian,none,cnn,bayesian_none_cnn
2,P3,1.0,0.782608695652174,0.8780487804878049,23,18,0,5,134,bayesian,none,cnn,bayesian_none_cnn
3,P4,0.6,0.9230769230769232,0.7272727272727273,13,12,8,1,136,bayesian,none,cnn,bayesian_none_cnn
4,P5,0.0,0.0,0.0,5,0,2,5,150,bayesian,none,cnn,bayesian_none_cnn
5,P6,0.1666666666666666,0.2,0.1818181818181818,5,1,5,4,147,bayesian,none,cnn,bayesian_none_cnn
6,P7,0.8888888888888888,1.0,0.9411764705882352,8,8,1,0,148,bayesian,none,cnn,bayesian_none_cnn
7,P8,1.0,0.9090909090909092,0.9523809523809524,11,10,0,1,146,bayesian,none,cnn,bayesian_none_cnn
8,P9,0.8461538461538461,0.7333333333333333,0.7857142857142857,15,11,2,4,140,bayesian,none,cnn,bayesian_none_cnn
9,P10,0.95,1.0,0.9743589743589745,19,19,1,0,137,bayesian,none,cnn,bayesian_none_cnn
0,P1,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,bayesian,none,mlp,bayesian_none_mlp
1,P2,0.8275862068965517,0.8275862068965517,0.8275862068965517,29,24,5,5,123,bayesian,none,mlp,bayesian_none_mlp
2,P3,1.0,0.782608695652174,0.8780487804878049,23,18,0,5,134,bayesian,none,mlp,bayesian_none_mlp
3,P4,0.7647058823529411,1.0,0.8666666666666667,13,13,4,0,140,bayesian,none,mlp,bayesian_none_mlp
4,P5,0.0,0.0,0.0,5,0,0,5,152,bayesian,none,mlp,bayesian_none_mlp
5,P6,0.3636363636363636,0.8,0.5,5,4,7,1,145,bayesian,none,mlp,bayesian_none_mlp
6,P7,1.0,0.875,0.9333333333333332,8,7,0,1,149,bayesian,none,mlp,bayesian_none_mlp
7,P8,1.0,1.0,1.0,11,11,0,0,146,bayesian,none,mlp,bayesian_none_mlp
8,P9,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,11,1,4,141,bayesian,none,mlp,bayesian_none_mlp
9,P10,1.0,1.0,1.0,19,19,0,0,138,bayesian,none,mlp,bayesian_none_mlp
0,P1,0.8484848484848485,0.9655172413793104,0.9032258064516128,29,28,5,1,123,random,_layertuning,cnn,random__layertuning_cnn
1,P2,0.8888888888888888,0.8275862068965517,0.8571428571428571,29,24,3,5,125,random,_layertuning,cnn,random__layertuning_cnn
2,P3,1.0,0.7391304347826086,0.85,23,17,0,6,134,random,_layertuning,cnn,random__layertuning_cnn
3,P4,0.55,0.8461538461538461,0.6666666666666666,13,11,9,2,135,random,_layertuning,cnn,random__layertuning_cnn
4,P5,0.0,0.0,0.0,5,0,3,5,149,random,_layertuning,cnn,random__layertuning_cnn
5,P6,0.1428571428571428,0.4,0.2105263157894736,5,2,12,3,140,random,_layertuning,cnn,random__layertuning_cnn
6,P7,1.0,0.875,0.9333333333333332,8,7,0,1,149,random,_layertuning,cnn,random__layertuning_cnn
7,P8,0.9166666666666666,1.0,0.9565217391304348,11,11,1,0,145,random,_layertuning,cnn,random__layertuning_cnn
8,P9,1.0,0.1333333333333333,0.2352941176470588,15,2,0,13,142,random,_layertuning,cnn,random__layertuning_cnn
9,P10,0.8636363636363636,1.0,0.926829268292683,19,19,3,0,135,random,_layertuning,cnn,random__layertuning_cnn
0,P1,0.8529411764705882,1.0,0.9206349206349206,29,29,5,0,123,random,_layertuning,mlp,random__layertuning_mlp
1,P2,1.0,0.8275862068965517,0.9056603773584906,29,24,0,5,128,random,_layertuning,mlp,random__layertuning_mlp
2,P3,1.0,0.9130434782608696,0.9545454545454546,23,21,0,2,134,random,_layertuning,mlp,random__layertuning_mlp
3,P4,0.6842105263157895,1.0,0.8125,13,13,6,0,138,random,_layertuning,mlp,random__layertuning_mlp
4,P5,0.0,0.0,0.0,5,0,0,5,152,random,_layertuning,mlp,random__layertuning_mlp
5,P6,0.2222222222222222,0.4,0.2857142857142857,5,2,7,3,145,random,_layertuning,mlp,random__layertuning_mlp
6,P7,1.0,0.875,0.9333333333333332,8,7,0,1,149,random,_layertuning,mlp,random__layertuning_mlp
7,P8,1.0,1.0,1.0,11,11,0,0,146,random,_layertuning,mlp,random__layertuning_mlp
8,P9,0.8461538461538461,0.7333333333333333,0.7857142857142857,15,11,2,4,140,random,_layertuning,mlp,random__layertuning_mlp
9,P10,1.0,1.0,1.0,19,19,0,0,138,random,_layertuning,mlp,random__layertuning_mlp
0,P1,0.9032258064516128,0.9655172413793104,0.9333333333333332,29,28,3,1,125,random,none,cnn,random_none_cnn
1,P2,0.896551724137931,0.896551724137931,0.896551724137931,29,26,3,3,125,random,none,cnn,random_none_cnn
2,P3,1.0,0.782608695652174,0.8780487804878049,23,18,0,5,134,random,none,cnn,random_none_cnn
3,P4,0.7222222222222222,1.0,0.8387096774193549,13,13,5,0,139,random,none,cnn,random_none_cnn
4,P5,0.0,0.0,0.0,5,0,1,5,151,random,none,cnn,random_none_cnn
