num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,units1,dropout1,units2,dropout2,cv_score,cv_std,cv_prec,cv_recall
5,384,0.4,256,0.5,0.00024395026973415696,128.0,0.1,256.0,0.4,192.0,0.6,128.0,0.1,64.0,0.1,0.9196428537368775,0.02587745436222984,0.9216728867967259,0.9089242424242425
2,320,0.30000000000000004,448,0.2,0.00014079295100691302,,,,,,,,,,,0.9107142925262451,0.01597189984499754,0.909008219050957,0.8985948773448772
5,128,0.1,64,0.6,0.0007931051641585564,64.0,0.1,192.0,0.4,384.0,0.1,,,,,0.9107142925262451,0.03040961801057278,0.9103582219294294,0.8982727272727272
5,256,0.1,256,0.30000000000000004,0.0010943447551193355,256.0,0.30000000000000004,192.0,0.1,256.0,0.6,,,,,0.9089285731315613,0.024872113487086463,0.9084332993026626,0.8977020202020203
3,192,0.5,64,0.1,0.00023761964881131693,448.0,0.30000000000000004,64.0,0.1,192.0,0.2,,,,,0.9089285731315613,0.0273161738504467,0.9105046363165558,0.892332251082251
2,448,0.4,384,0.4,0.00013109912945586297,320.0,0.1,64.0,0.5,64.0,0.5,,,,,0.9053571462631226,0.024353894763653388,0.9072694764815509,0.8894282106782108
5,384,0.4,448,0.1,0.00017649444104328213,192.0,0.4,448.0,0.6,64.0,0.5,,,,,0.9035714268684387,0.025505105226743686,0.898224592401063,0.8897958152958154
4,512,0.4,384,0.1,0.0009248893590788498,320.0,0.1,128.0,0.5,384.0,0.4,,,,,0.9017857193946839,0.034809978492470924,0.9059434001670843,0.8878499278499279
2,448,0.2,256,0.5,0.0026452446418704766,384.0,0.6,448.0,0.6,192.0,0.2,,,,,0.9017857074737549,0.02328287291660486,0.9034712811343246,0.8941796536796536
3,384,0.1,64,0.6,0.00012249641402088917,512.0,0.1,256.0,0.1,256.0,0.30000000000000004,,,,,0.9000000119209289,0.02789374469966018,0.9012913420765084,0.8863964646464646
3,384,0.1,320,0.6,0.00011561453696270228,384.0,0.30000000000000004,320.0,0.1,192.0,0.5,,,,,0.9,0.028459597247443267,0.9021814078967803,0.8866075036075036
3,192,0.5,64,0.1,0.0020912028947978833,448.0,0.6,128.0,0.4,384.0,0.4,,,,,0.8982142806053162,0.02082481928803879,0.8995745638427023,0.8828560606060606
3,320,0.2,448,0.2,0.002757546352225043,256.0,0.2,192.0,0.30000000000000004,64.0,0.5,,,,,0.8946428656578064,0.033120073400867034,0.8874358060240415,0.8764967532467531
