filters1,kernel_size,pool_size,filters2,filters3,dense_units,dropout,lr,cv_score,cv_std,cv_prec,cv_recall
16,5,3,32,64,320,0.5,0.003058416102128597,0.9142857193946838,0.024999993188042916,0.9165001942501944,0.9055020371785079
48,5,2,96,32,448,0.5,0.0005579877919933368,0.9017857193946839,0.02461437400706928,0.9002835025311805,0.8922178295560649
64,5,3,32,128,512,0.1,0.0005986605913831514,0.9000000119209289,0.044963130538628875,0.9058859114741468,0.8853844962227315
16,5,2,96,96,512,0.5,0.0027157256420724187,0.9,0.04048493213949729,0.9008795877325289,0.8888841991341991
16,3,2,32,32,320,0.6,0.008625204062142953,0.899999988079071,0.03164293949180569,0.90060856953504,0.8848174603174603
48,3,2,64,128,384,0.5,0.0006648403575683647,0.8964285612106323,0.03508371755474302,0.9055439776941325,0.8832773533655887
16,5,3,32,64,256,0.6,0.0012761271462040438,0.8964285612106323,0.034626289701859256,0.8926991003492551,0.8785927128427128
16,5,3,96,32,448,0.5,0.000406896775679243,0.8946428537368775,0.035445412813087114,0.8988355194856743,0.8790786435786437
16,3,2,64,128,64,0.4,0.00044541114312056005,0.8928571462631225,0.041110220872004916,0.8915372557439121,0.8790584415584416
64,5,2,32,64,64,0.5,0.0006673277125154032,0.8928571462631225,0.02934226950228541,0.8909382603120994,0.8754050589932942
16,5,2,32,32,384,0.6,0.001938296770988999,0.8928571462631225,0.02328285463073565,0.895981115435618,0.8840523088023089
48,3,2,128,96,512,0.1,0.000611633031895238,0.8910714387893677,0.032635132571899685,0.8938645978279508,0.8750685425685425
16,5,3,32,64,256,0.5,0.0044171910191787055,0.8910714268684388,0.046359846056874,0.8907614830466493,0.8770775613275614
64,5,2,32,32,256,0.1,0.00333071917185842,0.8875,0.02435390525267149,0.8950727732057654,0.8746106230370936
32,3,2,96,64,256,0.6,0.006145928518613443,0.887499988079071,0.04248349047693718,0.9003195896294969,0.8827236652236653
64,3,2,64,128,192,0.5,0.0005270810154495959,0.8839285731315613,0.03871336397960157,0.8826623691066416,0.867203823953824
16,5,3,32,64,448,0.6,0.009414482099756743,0.8839285731315613,0.015971913173001288,0.8886432293196999,0.869570282658518
16,5,2,64,64,128,0.2,0.008399696745250233,0.8821428537368774,0.04048493161368951,0.8841511123895023,0.8668181818181818
48,5,3,64,96,448,0.2,0.0038067952163623646,0.8821428537368774,0.03359801360866645,0.8753851096443975,0.8670357142857142
48,5,3,32,96,64,0.6,0.00464309773619989,0.8803571581840515,0.03598114230669199,0.8814616278973866,0.8683033910533909
64,5,3,96,64,256,0.1,0.0011496795355746246,0.8803571581840515,0.02684517357689311,0.8775974438358339,0.8633606866989221
16,5,3,32,64,384,0.5,0.0018359077052895012,0.8803571343421936,0.03019916778816298,0.878072608483633,0.865849142687378
32,3,3,32,64,384,0.4,0.00039684526194350996,0.8732142925262452,0.02355519876484926,0.872576575814966,0.8547394745777097
64,3,3,32,96,256,0.30000000000000004,0.00019140142918669913,0.8714285731315613,0.032241908697195086,0.8745765942639343,0.8496925770308124
64,3,3,96,128,512,0.4,0.00012074731654698299,0.8660714387893677,0.025253805786535865,0.8753063004247215,0.8461215728715729
16,3,2,96,32,448,0.1,0.00016075450929074628,0.8660714268684387,0.038713358480889415,0.868925088764603,0.8455248281130634
48,5,2,64,96,64,0.4,0.005608380770668248,0.8607142925262451,0.04538665323984579,0.8712343867600969,0.8430374543756898
64,3,3,64,64,320,0.6,0.00012838858541492406,0.8589285612106323,0.035892413017305315,0.8619317049218113,0.8388314659197011
64,3,3,96,64,512,0.4,0.00016002789506967393,0.8553571343421936,0.02216012670762287,0.860229123817359,0.8343087386469739
64,3,3,96,96,128,0.6,0.00025150107550240896,0.8517857193946838,0.023007327614238297,0.8509179783102585,0.8295046260928614
