units1,dropout1,units2,dropout2,lr,cv_score,cv_std,cv_prec,cv_recall
128,0.1,64,0.1,0.0011505259458996322,0.9196428537368775,0.027081696891552938,0.9221930683695391,0.9104383116883117
320,0.30000000000000004,256,0.1,0.0010847808345956858,0.9178571462631225,0.021428558230403193,0.9184964077030641,0.9076958874458875
256,0.2,256,0.30000000000000004,0.0005675925467086275,0.9160714387893677,0.017496346962681788,0.9166626943747687,0.9067186147186147
256,0.1,128,0.4,0.0012124039656826772,0.9142857074737549,0.025000007663458026,0.9101183477685026,0.9020569985569985
512,0.1,128,0.2,0.00013535333208176435,0.9107142925262451,0.013832076783666008,0.9073961451345353,0.8986821789321789
128,0.1,64,0.1,0.0021052928598314746,0.9089285731315613,0.026122734654394603,0.9085276060966597,0.8959865885748238
320,0.2,192,0.4,0.0008699713989381957,0.9089285731315613,0.017313132862822034,0.9075917457155847,0.8967312409812409
256,0.2,192,0.6,0.001175213995281346,0.9053571462631226,0.012111292493247959,0.9033637343049108,0.8914877344877346
192,0.1,192,0.6,0.0006911425300961018,0.9053571462631226,0.024353894763653388,0.9031238030974873,0.8938600288600289
448,0.1,192,0.6,0.0009161475772520266,0.9053571462631226,0.03685673714358861,0.914552944793051,0.8948145743145742
128,0.1,64,0.1,0.000847089393149634,0.9053571343421936,0.033692798331885404,0.9108207021736433,0.8964989177489178
320,0.2,64,0.2,0.000207131697452585,0.9053571343421936,0.021576871333508482,0.9068643842733894,0.8894837662337662
128,0.2,64,0.6,0.002068490996729264,0.9035714268684387,0.027316193332832594,0.9034463633837035,0.8901745395127747
320,0.1,256,0.2,0.0009698062862521192,0.9035714268684387,0.02067113673795053,0.8999384977767331,0.8890988455988456
448,0.5,256,0.2,0.00019128837432393214,0.9035714268684387,0.015361293338007974,0.9040481414010826,0.8909408369408369
128,0.1,64,0.1,0.0013596246647206134,0.9017857193946839,0.012626900785932716,0.8997444602181444,0.888113997113997
256,0.5,64,0.2,0.00034597172419108214,0.9017857074737549,0.02823462358139191,0.9059543399235483,0.8884989177489178
384,0.1,64,0.1,0.00025485994802252113,0.9017857074737549,0.0270817047519814,0.9022927681193936,0.8875306637806636
128,0.1,64,0.2,0.0009372829235031326,0.9,0.030618614832365297,0.8977139960143056,0.8885277777777778
192,0.30000000000000004,256,0.2,0.0011100305750270346,0.8982142806053162,0.02369016667618724,0.9003031968031967,0.8856554834054833
320,0.1,192,0.2,0.009922452994438214,0.8982142806053162,0.030722576282657555,0.9033602722265396,0.8856338383838385
128,0.1,192,0.1,0.006532450897116877,0.8946428537368775,0.05156973945456134,0.8991697224344284,0.8872727272727273
384,0.4,128,0.30000000000000004,0.0021477111334815414,0.8910714268684388,0.018210778800371943,0.8897267116268666,0.8716352813852813
384,0.6,192,0.5,0.0014319833413005392,0.8910714268684388,0.02355518972762258,0.8931586455078848,0.8760014430014429
512,0.6,192,0.6,0.0002563117609226684,0.8910714268684388,0.018210778800371943,0.8905548125503369,0.8750393217893219
512,0.5,128,0.30000000000000004,0.0001244449776912703,0.8910714268684388,0.018210778800371943,0.8936264157239389,0.8753791486291487
320,0.6,256,0.30000000000000004,0.00016375684379196865,0.8892857193946838,0.0192327410992943,0.8918639551023452,0.8719837662337662
192,0.6,192,0.5,0.00016676970793750678,0.8785714387893677,0.018385054319421525,0.8823187269723143,0.85982215007215
256,0.30000000000000004,192,0.4,0.00011560599676307826,0.8767857193946839,0.016366336564983628,0.8811880208453099,0.8588322510822511
320,0.6,128,0.1,0.00010060500525379721,0.8714285731315613,0.03321620596478358,0.881494070952006,0.8505696248196248
