num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b2_l1,kernel_size_b2_l1,filters_b2_l2,kernel_size_b2_l2,pool_size_b2,filters_b3_l1,kernel_size_b3_l1,filters_b3_l2,kernel_size_b3_l2,pool_size_b3,filters_b1_l3,kernel_size_b1_l3,filters_b2_l3,kernel_size_b2_l3,filters_b3_l3,kernel_size_b3_l3,filters1,kernel_size,pool_size,filters2,filters3,cv_score,cv_std,cv_prec,cv_recall
2,2,128,5,2,192,0.2,0.007755867889032286,64,5,32,3,32,3,2,64,5,80,5,2,112.0,3.0,32.0,5.0,16.0,3.0,16.0,3.0,2.0,32.0,32.0,0.9,0.026122764805615043,0.8968906648906649,0.8842120575502929
1,2,96,3,3,320,0.5,0.0019359361794864939,112,3,80,5,48,3,2,80,3,64,5,3,,,,,,,,,,,,0.8946428656578064,0.03263511104652166,0.9028550797671542,0.8825523088023088
3,2,48,5,2,256,0.5,0.0018956271615599293,48,3,80,3,96,5,3,48,3,96,3,2,96.0,3.0,96.0,5.0,96.0,3.0,,,,,,0.8946428537368775,0.025505091037996717,0.9037396802581215,0.8797156013920719
1,1,96,3,3,128,0.30000000000000004,0.0017991073735913667,16,3,48,3,96,3,3,128,5,32,5,3,128.0,3.0,64.0,5.0,32.0,5.0,,,,,,0.8928571462631225,0.01597191983701234,0.8893231531969923,0.8779883923266276
2,2,96,5,2,512,0.4,0.0015033701274620817,64,5,128,3,48,5,3,96,5,64,5,3,80.0,3.0,80.0,5.0,64.0,3.0,,,,,,0.8910714268684388,0.022868297390466044,0.8988152999391389,0.8791813301078009
1,3,32,5,3,256,0.1,0.0009403614999484184,64,5,32,3,32,5,3,80,5,48,5,3,96.0,5.0,48.0,3.0,80.0,3.0,,,,,,0.8910714268684388,0.03928569988771075,0.892258514365191,0.8813131313131313
3,2,80,3,2,256,0.30000000000000004,0.0006861630947229847,96,5,96,3,32,5,2,32,3,64,5,2,128.0,3.0,16.0,5.0,80.0,3.0,,,,,,0.8910714268684388,0.04837934293756909,0.895790533228008,0.8701312494694846
1,2,32,3,2,512,0.5,0.00040228790416015195,32,5,112,3,128,5,2,16,3,64,3,3,,,,,,,,,,,,0.8892857193946838,0.02004459101943425,0.890848565263426,0.877173520923521
3,3,96,3,3,448,0.5,0.0016389802959487039,48,5,80,5,128,5,3,112,5,16,3,3,32.0,5.0,80.0,3.0,128.0,3.0,,,,,,0.8892857193946838,0.018385047372245857,0.8917420962250683,0.8703040488922842
3,1,128,5,2,448,0.1,0.004712335776716502,64,3,48,3,80,3,3,96,5,96,3,2,112.0,5.0,16.0,5.0,96.0,3.0,,,,,,0.8875,0.031743545742373834,0.8903017334440136,0.8728977803242509
3,1,96,3,2,64,0.1,0.0010195867676497958,128,5,128,3,80,5,2,16,5,128,5,3,32.0,3.0,128.0,3.0,48.0,5.0,,,,,,0.887499988079071,0.03813241028646383,0.8874439409097505,0.8724201468466175
1,2,96,3,3,320,0.5,0.0004258884110483081,48,3,128,5,96,3,3,112,5,64,3,2,64.0,3.0,64.0,3.0,64.0,3.0,,,,,,0.8857142925262451,0.02067113673795053,0.8849652836581765,0.8680815295815296
3,2,16,5,3,64,0.1,0.0022790183460427854,16,3,32,3,64,3,2,128,3,48,5,3,112.0,5.0,80.0,5.0,128.0,3.0,,,,,,0.8857142806053162,0.036770110375634664,0.8945810824022897,0.8706034716917068
1,3,96,3,2,320,0.5,0.0003047566454213899,96,5,128,3,16,5,3,112,5,128,3,3,112.0,3.0,48.0,5.0,80.0,5.0,,,,,,0.8839285850524903,0.02587745436222984,0.8868978007716398,0.8693957431457431
2,1,128,5,3,320,0.4,0.0006940404824300579,32,3,80,5,16,5,3,96,5,16,5,3,96.0,3.0,128.0,5.0,48.0,5.0,,,,,,0.8839285731315613,0.04187872267056496,0.8891100126821625,0.8671139971139971
2,2,128,5,3,192,0.2,0.0003609237611847573,112,5,96,3,64,5,3,80,3,128,5,2,48.0,3.0,96.0,5.0,32.0,5.0,,,,,,0.8839285731315613,0.034809969319506334,0.8852667946432653,0.8717827009591715
3,3,80,3,2,128,0.4,0.000364566160945484,48,3,16,5,80,3,3,80,5,32,5,3,16.0,3.0,16.0,3.0,16.0,3.0,,,,,,0.8821428537368774,0.013122276444344404,0.8847946098449194,0.8662470503352857
3,2,112,5,2,384,0.1,0.00010397677060615816,112,3,96,5,80,5,2,112,3,112,3,2,32.0,5.0,96.0,3.0,128.0,5.0,,,,,,0.8803571581840515,0.03642157279700013,0.8775329802374829,0.8640108225108225
1,3,64,5,2,64,0.4,0.0007541342746039514,32,3,96,5,64,3,2,16,3,16,5,3,96.0,5.0,64.0,5.0,48.0,5.0,,,,,,0.8803571343421936,0.042483502001640826,0.8846528312588685,0.8616727357609711
3,1,48,3,2,256,0.6,0.0018831823211638247,128,3,32,5,64,3,2,112,3,32,5,3,32.0,5.0,128.0,5.0,48.0,3.0,,,,,,0.8785714268684387,0.02743267358392623,0.8863171097907939,0.8589659621424328
