num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,units1,dropout1,units2,dropout2,cv_score,cv_std,cv_prec,cv_recall
2,512,0.4,512,0.2,0.0008044695963004344,320,0.5,256,0.2,64,0.30000000000000004,128.0,0.1,64.0,0.1,0.9142857074737549,0.026845185471423363,0.9176198263978584,0.9038044733044733
2,512,0.2,384,0.5,0.0003193926052863493,512,0.5,128,0.1,64,0.30000000000000004,,,,,0.9124999880790711,0.019884865383612237,0.9094185312451566,0.899333694083694
3,256,0.4,256,0.30000000000000004,0.0005441333557317162,64,0.30000000000000004,512,0.30000000000000004,256,0.4,,,,,0.9107142806053161,0.025253818430593582,0.9111370150915177,0.8991695526695527
4,512,0.1,384,0.30000000000000004,0.0011178408035136893,64,0.2,448,0.6,128,0.5,,,,,0.9107142806053161,0.029880715233365957,0.9170634518336094,0.8991237373737373
2,128,0.6,320,0.4,0.000796858979799674,128,0.2,256,0.30000000000000004,448,0.5,,,,,0.9107142806053161,0.03480998460777522,0.9162188677335736,0.8984559884559886
2,512,0.30000000000000004,64,0.1,0.00041314623503481055,320,0.5,64,0.2,384,0.1,,,,,0.9089285731315613,0.02612276317582097,0.9063356500740403,0.8934448051948053
4,512,0.6,256,0.1,0.00026817498843765647,448,0.4,512,0.5,384,0.30000000000000004,,,,,0.9089285612106324,0.022868297390466044,0.9060336052836053,0.8919433621933621
3,512,0.2,192,0.6,0.0003987089901969581,384,0.5,384,0.5,256,0.1,,,,,0.9071428656578064,0.024999999999999998,0.9086561882987713,0.893512987012987
4,256,0.2,320,0.2,0.0013393711735063068,64,0.4,64,0.1,192,0.6,,,,,0.9053571462631226,0.030199184000842535,0.9075764736153753,0.8932474747474748
2,448,0.2,512,0.1,0.00012076032428134492,320,0.6,128,0.4,320,0.2,,,,,0.9053571343421936,0.021576871333508482,0.9062472249972249,0.8907127790510143
2,448,0.1,512,0.1,0.0008810482584760833,64,0.30000000000000004,256,0.4,448,0.6,,,,,0.9017857193946839,0.024614365358721486,0.8976121317622866,0.8871226551226551
3,256,0.2,256,0.6,0.0009019421529314963,256,0.5,256,0.2,320,0.30000000000000004,,,,,0.8982142925262451,0.03019916355876401,0.902954246390005,0.8832251082251084
3,320,0.1,384,0.6,0.0002379787986249758,192,0.30000000000000004,512,0.30000000000000004,384,0.1,,,,,0.8964285731315613,0.021576865414006274,0.8943850611630932,0.8802489177489179
3,384,0.30000000000000004,512,0.30000000000000004,0.0010057211701706048,256,0.30000000000000004,192,0.4,384,0.4,,,,,0.8946428656578064,0.03453406720228766,0.8979737721858465,0.8772124819624819
4,256,0.2,384,0.30000000000000004,0.0014016636859761544,448,0.5,192,0.30000000000000004,384,0.2,,,,,0.8928571462631225,0.0324391020308434,0.9033360207642076,0.8812651515151515
4,64,0.5,192,0.6,0.0003196358774533509,384,0.2,320,0.2,448,0.2,,,,,0.8892857193946838,0.028571431338792325,0.9005997970038218,0.8757766955266956
5,256,0.5,128,0.30000000000000004,0.0010509199655136681,512,0.4,256,0.4,448,0.1,,,,,0.8875,0.02082484279889959,0.8886134532560364,0.872462481962482
2,192,0.5,320,0.5,0.00019688554691364645,512,0.1,128,0.30000000000000004,512,0.5,,,,,0.885714304447174,0.024222606957044406,0.8895787800688865,0.8707337662337663
4,64,0.2,512,0.1,0.0013825682381639706,128,0.2,384,0.5,384,0.2,,,,,0.8857142925262451,0.026122734654394603,0.8906560282719929,0.8687098930481284
2,256,0.5,256,0.2,0.00010918625908349119,64,0.30000000000000004,448,0.2,128,0.30000000000000004,,,,,0.8821428656578064,0.02901442811429238,0.8905973202998375,0.8643044733044732
2,64,0.2,448,0.30000000000000004,0.00016279063589616825,64,0.2,192,0.30000000000000004,512,0.6,,,,,0.8821428537368774,0.02286830856089003,0.8881653116143964,0.865057295645531
3,448,0.5,64,0.6,0.00016558213618125513,64,0.1,128,0.2,192,0.5,,,,,0.8803571462631226,0.02004459526744235,0.8881921856952817,0.8627474747474746
3,384,0.5,64,0.1,0.003249525791738676,320,0.4,128,0.4,320,0.6,,,,,0.8785714268684387,0.03462626818473173,0.8814973961964808,0.8581103896103895
3,448,0.4,64,0.1,0.004025696424630448,128,0.30000000000000004,64,0.6,64,0.30000000000000004,,,,,0.8660714268684387,0.027664165109711737,0.8735278208801563,0.8449747474747475
3,448,0.5,384,0.6,0.003412646114724423,512,0.30000000000000004,128,0.30000000000000004,512,0.30000000000000004,,,,,0.8464285731315613,0.04203073232552209,0.8710588253149163,0.8174516594516594
3,128,0.4,512,0.30000000000000004,0.006420332714061141,320,0.4,256,0.30000000000000004,384,0.2,,,,,0.8375,0.0367701109545639,0.8552748820666777,0.8156645021645021
4,64,0.6,384,0.6,0.0013831348852655374,64,0.5,448,0.6,128,0.1,,,,,0.7821428656578064,0.07111538354477616,0.7812210068987563,0.7458160173160173
5,64,0.5,128,0.1,0.009115992223276017,64,0.1,64,0.1,64,0.1,,,,,0.6910714268684387,0.07200658506215946,0.6039243353596294,0.6342038239538239
5,192,0.5,320,0.4,0.009807049272790726,448,0.5,128,0.2,192,0.6,,,,,0.45000000596046447,0.03019917765674845,0.2542486941281205,0.36069257703081237
5,64,0.6,512,0.4,0.008531793184908256,192,0.4,192,0.4,64,0.4,,,,,0.3714285731315613,0.04608388070689663,0.1931100921161808,0.2700894448688566
