trial,hyperparameters,cv_mean,cv_std,fold_scores
1,"{'learning_rate': 0.0015783899187896547, 'filters1': 64, 'filters2': 32, 'filters3': 128, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.4214190221469203, 'dense_units': 64}",0.895714282989502,0.030838620529811313,"[0.9071428775787354, 0.8357142806053162, 0.9214285612106323, 0.9142857193946838, 0.8999999761581421]"
2,"{'learning_rate': 0.006014410030652371, 'filters1': 64, 'filters2': 128, 'filters3': 64, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.45979313871847993, 'dense_units': 512}",0.9014285683631897,0.023647059425663478,"[0.8571428656578064, 0.9214285612106323, 0.9071428775787354, 0.9214285612106323, 0.8999999761581421]"
3,"{'learning_rate': 0.007941943649296472, 'filters1': 16, 'filters2': 64, 'filters3': 128, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.3886066053024453, 'dense_units': 256}",0.8942857027053833,0.025314359800837842,"[0.8999999761581421, 0.8642857074737549, 0.8999999761581421, 0.9357143044471741, 0.8714285492897034]"
4,"{'learning_rate': 0.001970907909001764, 'filters1': 16, 'filters2': 64, 'filters3': 64, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.3191381707675231, 'dense_units': 256}",0.8957142949104309,0.02579352022331556,"[0.9071428775787354, 0.8500000238418579, 0.9214285612106323, 0.9142857193946838, 0.8857142925262451]"
5,"{'learning_rate': 0.004213989245336353, 'filters1': 16, 'filters2': 64, 'filters3': 32, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.4720950487384715, 'dense_units': 128}",0.881428575515747,0.030505940510643346,"[0.8357142806053162, 0.8642857074737549, 0.8785714507102966, 0.9071428775787354, 0.9214285612106323]"
6,"{'learning_rate': 0.0013589060290447954, 'filters1': 64, 'filters2': 64, 'filters3': 32, 'kernel_size': 5, 'pool_size': 3, 'dropout': 0.17045850800833243, 'dense_units': 128}",0.8928571224212647,0.02927699753500228,"[0.8714285492897034, 0.8714285492897034, 0.8642857074737549, 0.9285714030265808, 0.9285714030265808]"
7,"{'learning_rate': 0.007695539610536645, 'filters1': 64, 'filters2': 128, 'filters3': 32, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.22198903560395247, 'dense_units': 512}",0.8757142901420594,0.03574282906106865,"[0.8857142925262451, 0.8500000238418579, 0.8999999761581421, 0.9214285612106323, 0.8214285969734192]"
8,"{'learning_rate': 0.004630385912022501, 'filters1': 16, 'filters2': 32, 'filters3': 64, 'kernel_size': 3, 'pool_size': 3, 'dropout': 0.24666064682092279, 'dense_units': 512}",0.8971428632736206,0.014708039287230471,"[0.8928571343421936, 0.8857142925262451, 0.8785714507102966, 0.9142857193946838, 0.9142857193946838]"
9,"{'learning_rate': 0.0005896855584004938, 'filters1': 32, 'filters2': 32, 'filters3': 64, 'kernel_size': 3, 'pool_size': 2, 'dropout': 0.2345776688113769, 'dense_units': 256}",0.8914285659790039,0.01989768907792655,"[0.8785714507102966, 0.8928571343421936, 0.8857142925262451, 0.9285714030265808, 0.8714285492897034]"
10,"{'learning_rate': 0.005847429926783365, 'filters1': 16, 'filters2': 64, 'filters3': 32, 'kernel_size': 5, 'pool_size': 2, 'dropout': 0.21689992772263528, 'dense_units': 256}",0.9128571510314941,0.026496047408588876,"[0.8928571343421936, 0.8785714507102966, 0.949999988079071, 0.9357143044471741, 0.9071428775787354]"
