trial,hyperparameters,cv_mean,cv_std,fold_scores
1,"{'learning_rate': 0.005314222181630301, 'dropout1': 0.4431926810285577, 'dropout2': 0.5838986725170922, 'units1': 448, 'units2': 64}",0.8785714268684387,0.02962350456545745,"[0.9071428775787354, 0.8428571224212646, 0.8428571224212646, 0.8928571343421936, 0.9071428775787354]"
2,"{'learning_rate': 0.00826829437874162, 'dropout1': 0.13430649652522733, 'dropout2': 0.3566426971125326, 'units1': 128, 'units2': 64}",0.8914285659790039,0.029416086679499836,"[0.9214285612106323, 0.8357142806053162, 0.9071428775787354, 0.8999999761581421, 0.8928571343421936]"
3,"{'learning_rate': 0.00781480033031578, 'dropout1': 0.12786137695483735, 'dropout2': 0.1908839856037704, 'units1': 128, 'units2': 192}",0.8814285635948181,0.03338090749824196,"[0.9285714030265808, 0.8285714387893677, 0.8928571343421936, 0.8928571343421936, 0.8642857074737549]"
4,"{'learning_rate': 0.008822453555647071, 'dropout1': 0.6004232625028258, 'dropout2': 0.3941597501706743, 'units1': 384, 'units2': 192}",0.7942857146263123,0.03999999378408953,"[0.8357142806053162, 0.75, 0.8428571224212646, 0.7928571701049805, 0.75]"
5,"{'learning_rate': 0.0018050131164477074, 'dropout1': 0.46881171830741053, 'dropout2': 0.42897066210486046, 'units1': 128, 'units2': 64}",0.9100000023841858,0.016035663469938274,"[0.9142857193946838, 0.8785714507102966, 0.9214285612106323, 0.9142857193946838, 0.9214285612106323]"
6,"{'learning_rate': 0.005645080937699706, 'dropout1': 0.6502730423419327, 'dropout2': 0.11062700955694725, 'units1': 192, 'units2': 128}",0.8428571462631226,0.027479119999571852,"[0.8857142925262451, 0.800000011920929, 0.8500000238418579, 0.8357142806053162, 0.8428571224212646]"
7,"{'learning_rate': 0.0001902216612978803, 'dropout1': 0.1872384045294958, 'dropout2': 0.6579999317416434, 'units1': 256, 'units2': 64}",0.9071428537368774,0.012777530538404146,"[0.8999999761581421, 0.8857142925262451, 0.9142857193946838, 0.9214285612106323, 0.9142857193946838]"
8,"{'learning_rate': 0.005399169672894983, 'dropout1': 0.25869919067651204, 'dropout2': 0.6773595476465083, 'units1': 128, 'units2': 128}",0.8871428728103637,0.018844155216241228,"[0.8571428656578064, 0.8857142925262451, 0.9071428775787354, 0.9071428775787354, 0.8785714507102966]"
9,"{'learning_rate': 0.005631358448933054, 'dropout1': 0.49850883186504025, 'dropout2': 0.10211017536120107, 'units1': 128, 'units2': 128}",0.8857142806053162,0.02892634884472884,"[0.8999999761581421, 0.8571428656578064, 0.8928571343421936, 0.9285714030265808, 0.8500000238418579]"
10,"{'learning_rate': 0.008538858582408392, 'dropout1': 0.41012832021947243, 'dropout2': 0.1074195593322475, 'units1': 320, 'units2': 64}",0.8871428728103637,0.024494889363016713,"[0.9142857193946838, 0.8500000238418579, 0.8785714507102966, 0.9142857193946838, 0.8785714507102966]"
11,"{'learning_rate': 0.0008572348610295873, 'dropout1': 0.32227631466387124, 'dropout2': 0.27678218208185407, 'units1': 256, 'units2': 192}",0.9171428442001343,0.010690445853303738,"[0.9142857193946838, 0.8999999761581421, 0.9285714030265808, 0.9285714030265808, 0.9142857193946838]"
12,"{'learning_rate': 0.007492148479554281, 'dropout1': 0.4727642159560107, 'dropout2': 0.34859783929871846, 'units1': 448, 'units2': 64}",0.868571424484253,0.025793517582357952,"[0.8642857074737549, 0.8285714387893677, 0.8571428656578064, 0.8999999761581421, 0.8928571343421936]"
13,"{'learning_rate': 0.004062814143082665, 'dropout1': 0.5891593252059204, 'dropout2': 0.3280403857676151, 'units1': 384, 'units2': 128}",0.8742857098579406,0.02415932971917287,"[0.8928571343421936, 0.8285714387893677, 0.8928571343421936, 0.8857142925262451, 0.8714285492897034]"
14,"{'learning_rate': 0.00029771319862365866, 'dropout1': 0.6416832904668917, 'dropout2': 0.3555827762482936, 'units1': 384, 'units2': 128}",0.9042857050895691,0.033685225596410226,"[0.9142857193946838, 0.8428571224212646, 0.8999999761581421, 0.9428571462631226, 0.9214285612106323]"
15,"{'learning_rate': 0.0033445992611372275, 'dropout1': 0.2696850162672439, 'dropout2': 0.4014338736153339, 'units1': 128, 'units2': 256}",0.8828571319580079,0.027701027335108576,"[0.8999999761581421, 0.8571428656578064, 0.8428571224212646, 0.9142857193946838, 0.8999999761581421]"
16,"{'learning_rate': 0.0016100378325621832, 'dropout1': 0.5434120255592416, 'dropout2': 0.5363504751166416, 'units1': 320, 'units2': 192}",0.895714282989502,0.03458205627880212,"[0.9214285612106323, 0.8357142806053162, 0.8857142925262451, 0.9357143044471741, 0.8999999761581421]"
17,"{'learning_rate': 0.006261100760713749, 'dropout1': 0.4025660812209828, 'dropout2': 0.33199543563273426, 'units1': 512, 'units2': 256}",0.881428575515747,0.014708031182193056,"[0.8999999761581421, 0.8785714507102966, 0.8785714507102966, 0.8928571343421936, 0.8571428656578064]"
18,"{'learning_rate': 0.0032533733917759805, 'dropout1': 0.6684908952814672, 'dropout2': 0.5658428786128464, 'units1': 256, 'units2': 192}",0.8742857098579406,0.02579352022331556,"[0.8999999761581421, 0.8285714387893677, 0.8642857074737549, 0.8857142925262451, 0.8928571343421936]"
19,"{'learning_rate': 0.004283873342360602, 'dropout1': 0.32343820206129126, 'dropout2': 0.5620986235486856, 'units1': 448, 'units2': 256}",0.8914285778999329,0.035398606336436336,"[0.8999999761581421, 0.8285714387893677, 0.9071428775787354, 0.9357143044471741, 0.8857142925262451]"
20,"{'learning_rate': 0.0003624827465836651, 'dropout1': 0.3466101120057409, 'dropout2': 0.17386315465116042, 'units1': 128, 'units2': 64}",0.9214285612106323,0.01969149055730956,"[0.9285714030265808, 0.8928571343421936, 0.9071428775787354, 0.949999988079071, 0.9285714030265808]"
21,"{'learning_rate': 0.005034332957358227, 'dropout1': 0.4263414657497555, 'dropout2': 0.5559249140967343, 'units1': 192, 'units2': 256}",0.8628571391105652,0.028356335415353536,"[0.8714285492897034, 0.8285714387893677, 0.8714285492897034, 0.9071428775787354, 0.8357142806053162]"
22,"{'learning_rate': 0.008689029610736115, 'dropout1': 0.4532431076670511, 'dropout2': 0.3668352634643416, 'units1': 320, 'units2': 192}",0.8414285778999329,0.03238795433487905,"[0.8714285492897034, 0.7785714268684387, 0.8500000238418579, 0.8500000238418579, 0.8571428656578064]"
