units1,dropout1,units2,dropout2,lr,score
384,0.5,64,0.30000000000000004,0.0014317635468985984,0.9428571462631226
256,0.1,192,0.5,0.00017953558679249874,0.9428571462631226
512,0.1,128,0.30000000000000004,0.0013859880240904726,0.9257143139839172
448,0.30000000000000004,64,0.5,0.0004310172695292681,0.9257143139839172
384,0.1,256,0.1,0.00023553594488703454,0.9257143139839172
448,0.2,64,0.2,0.00022594309544332993,0.9257143139839172
512,0.2,192,0.2,0.0006305597141836115,0.9257143139839172
384,0.1,128,0.2,0.0021321979115285347,0.9200000166893005
192,0.30000000000000004,128,0.30000000000000004,0.0007321845733528145,0.9200000166893005
192,0.4,256,0.2,0.00036448699004144517,0.9200000166893005
384,0.6,128,0.1,0.0011457004452772243,0.9142857193946838
320,0.1,256,0.5,0.0008221619210072158,0.9142857193946838
448,0.2,64,0.6,0.00020366217049846844,0.9142857193946838
256,0.2,192,0.1,0.0001187481804474869,0.9142857193946838
192,0.30000000000000004,64,0.5,0.002275452665045046,0.9142857193946838
256,0.1,128,0.4,0.0020977643583507096,0.9085714221000671
192,0.30000000000000004,64,0.4,0.0008333620399231885,0.9085714221000671
512,0.4,64,0.4,0.00014440277733746059,0.9085714221000671
512,0.5,64,0.2,0.00016538837639010572,0.9085714221000671
128,0.30000000000000004,192,0.5,0.0018324337625857986,0.9085714221000671
512,0.6,128,0.6,0.0006179579394890727,0.9028571248054504
448,0.6,64,0.6,0.00023296415902195254,0.8971428275108337
384,0.4,256,0.5,0.006416851214293428,0.8971428275108337
128,0.30000000000000004,64,0.2,0.008959367864500994,0.8914285898208618
384,0.5,192,0.1,0.001649014941320522,0.8857142925262451
256,0.2,192,0.4,0.002596852274141183,0.8857142925262451
320,0.30000000000000004,192,0.4,0.005650955696722343,0.8799999952316284
128,0.30000000000000004,128,0.30000000000000004,0.0001683868581092292,0.8799999952316284
192,0.4,128,0.6,0.0062139741793917755,0.8628571629524231
512,0.4,128,0.1,0.00695461878420833,0.8514285683631897
