filters1,kernel_size,pool_size,filters2,filters3,dense_units,dropout,lr,cv_score,cv_std,cv_prec,cv_recall
48,5,3,64,128,256,0.5,0.0026843727365070237,0.9114285707473755,0.029829450528527767,0.9116689386890761,0.9066853402352125
64,3,2,128,96,320,0.6,0.0026052762465815374,0.9100000023841858,0.013997074893466077,0.9146016789704365,0.903399596425172
48,5,3,64,128,192,0.6,0.004613335456299059,0.9100000023841858,0.00968904313435306,0.9167557185788441,0.9024830880968988
32,5,3,64,128,256,0.4,0.0040094836352856465,0.9099999904632569,0.026954233358321564,0.9102631388219624,0.9077536327696174
32,5,3,32,128,256,0.5,0.00252260559825167,0.9071428656578064,0.01628822722922266,0.9078899721059365,0.8987818174295157
48,5,3,64,128,320,0.4,0.0012440718000666692,0.9057142853736877,0.02976094744460056,0.9067927816712984,0.8996360001180973
48,3,2,96,32,448,0.5,0.0013027027591105272,0.9042857170104981,0.017261482860010103,0.8995033388822931,0.8961802435984021
64,3,2,96,32,192,0.30000000000000004,0.0004669925536911264,0.9028571367263794,0.012453998974078506,0.9025341487157345,0.8971167696327544
32,3,3,64,32,192,0.5,0.0028149024750815637,0.9014285802841187,0.012289033284633898,0.9019688632100464,0.892313279289622
16,5,3,32,32,320,0.4,0.0014849757124240257,0.9014285683631897,0.008329939981757637,0.9050503313373485,0.8956867256784136
32,3,2,128,96,128,0.6,0.0006425128602850993,0.9014285683631897,0.024908000683004927,0.8986843296060216,0.8927060788742374
64,3,2,128,64,256,0.6,0.004168085569935967,0.9014285683631897,0.029067111826592395,0.90706876030746,0.8937720491358598
48,3,2,64,96,320,0.6,0.0007834342980223698,0.899999988079071,0.018626293761821483,0.9027883153265573,0.8913931975952435
16,3,3,32,128,192,0.2,0.0012510861268795438,0.8985714197158814,0.021852937521766917,0.8996162582515523,0.8916484224783459
32,3,2,32,128,128,0.5,0.0009302816749495915,0.8971428513526917,0.014708054339451665,0.899545943825995,0.8920884091043938
64,3,2,128,96,256,0.5,0.0042591074037166285,0.8971428513526917,0.01603568470995275,0.8936658097873472,0.8891231979870087
64,5,2,96,32,448,0.5,0.00048690017276281297,0.895714282989502,0.019483116859828807,0.897779346981521,0.8888887412672579
64,3,2,64,64,256,0.4,0.0009281211218873026,0.895714271068573,0.02285713106393887,0.8956767164462345,0.8891241885423471
48,3,3,96,32,384,0.1,0.002159589050988499,0.8942857146263122,0.022767673609241028,0.9010783092475243,0.8866828801349262
64,5,2,64,96,192,0.6,0.00010127718493240693,0.8942857027053833,0.018844147082733877,0.8969208678094465,0.8861407193971134
16,3,2,128,32,384,0.5,0.0002699995872739864,0.8928571462631225,0.017496361562780418,0.895168627948531,0.8871252237390344
16,5,2,128,128,384,0.5,0.0014847277587917483,0.8914285778999329,0.011428563296808006,0.8927345813539448,0.885926921756845
64,3,2,128,96,384,0.6,0.001661791926115408,0.8914285778999329,0.015907907936641937,0.8928589224500989,0.885301392057786
16,3,2,64,64,512,0.2,0.002953262609705247,0.8914285659790039,0.01653691042017306,0.8890038132273494,0.882696320516653
32,5,2,128,128,192,0.1,0.0027098486505558695,0.8899999976158142,0.018405852838954673,0.8877699008720749,0.8787838607116101
32,3,3,64,32,448,0.30000000000000004,0.007752323623504601,0.8871428608894348,0.006998527104995434,0.8901395312073399,0.881458901215295
48,3,3,96,64,384,0.2,0.000820920440399083,0.8842857122421265,0.017728109435273746,0.888597298650408,0.8767043502107441
64,5,3,96,96,320,0.4,0.00010527206554759681,0.8828571438789368,0.03181579660372366,0.8810130631875415,0.8724965746103853
16,5,3,32,128,512,0.1,0.00011598305322567069,0.8828571319580079,0.02373320746963302,0.8862457538117049,0.8721291283311743
48,3,3,64,128,448,0.2,0.0007021524238519075,0.8714285731315613,0.02213133208777247,0.8700679515359082,0.8637770193716484
