units1,dropout1,units2,dropout2,lr,cv_score,cv_std,cv_prec,cv_recall
320,0.2,192,0.1,0.00031311923967034113,0.9300000071525574,0.01653690218168048,0.9321705208403419,0.9244605176721544
512,0.1,128,0.6,0.00018432140445718035,0.927142858505249,0.015252983095041401,0.9305722599979701,0.9215807112041128
512,0.30000000000000004,256,0.30000000000000004,0.00024929940484760404,0.927142858505249,0.024074709373174588,0.9275532008060141,0.9232513461247477
512,0.1,192,0.1,0.0003929594700273865,0.9257142782211304,0.014708054339451665,0.9250019387688185,0.9215985267219283
384,0.1,256,0.4,0.0001044028616797077,0.9242857098579407,0.012453988034692855,0.9288903667666893,0.9203250794388902
128,0.1,64,0.1,0.001024143840053108,0.922857141494751,0.020404078338973956,0.9230913050007679,0.917890106199569
512,0.1,64,0.6,0.000917306404096263,0.922857141494751,0.009476066670489893,0.9262186209081147,0.9159046650280667
384,0.5,64,0.2,0.0003618328428141238,0.9214285731315612,0.01628822722922266,0.9228557604492995,0.9150839579573595
512,0.6,64,0.1,0.0008695679768094596,0.9214285731315612,0.01628822722922266,0.9248920487015116,0.9147793278049032
512,0.1,256,0.6,0.00035589943853630223,0.9214285612106323,0.0174963518293881,0.9239498376879249,0.9140720531954546
384,0.6,192,0.5,0.0010343046646330732,0.9185714244842529,0.03368520840737316,0.9207901111571456,0.9090023813214352
384,0.4,64,0.6,0.0007359237843776363,0.9171428561210633,0.007284297960405571,0.9196088620955628,0.912086780298417
448,0.30000000000000004,64,0.2,0.00019011729536387554,0.9171428442001343,0.010690445853303738,0.9191638333324293,0.9119425438159453
320,0.1,64,0.30000000000000004,0.0005476499345720498,0.9157142996788025,0.017142844200134278,0.9158441236303668,0.9105596308352062
512,0.1,256,0.1,0.0001,0.9157142877578736,0.02906713057480533,0.9165314382765049,0.9065284024018039
320,0.30000000000000004,64,0.1,0.0013319353349830108,0.9157142758369445,0.028356330010240488,0.9153919515200105,0.9107938329076436
448,0.5,192,0.1,0.0003118003420722171,0.9142857193946838,0.020701959376671596,0.9204320255035492,0.9072389237644993
384,0.4,128,0.4,0.001317942267020829,0.9142857074737549,0.020701963489788814,0.9163599142552904,0.909211286227271
512,0.1,64,0.1,0.0009338705250228035,0.9142857074737549,0.014285707473754882,0.9111865957437368,0.9106732491009983
512,0.5,256,0.6,0.0001304323536022058,0.9099999904632569,0.01895212705093518,0.9152738634639765,0.9027692267948023
384,0.1,256,0.1,0.001406748235430387,0.908571434020996,0.03077236019108283,0.9086211766688616,0.9030494941971924
128,0.1,192,0.1,0.0001,0.895714271068573,0.03181579232159957,0.8985449452799635,0.8871249266505021
448,0.4,64,0.4,0.004035439859879942,0.8928571462631225,0.03528311304617325,0.8949528615519327,0.8823154028409783
384,0.30000000000000004,128,0.6,0.0032522097090204975,0.8914285778999329,0.02490798222277996,0.8990759715987338,0.8846974033355106
512,0.6,64,0.5,0.00012205845150866462,0.8828571438789368,0.02285713702440529,0.8866135368624735,0.8708980146735901
512,0.6,192,0.6,0.004951440279602691,0.8742856979370117,0.03849197782951176,0.8851274742255695,0.8643921319515948
320,0.30000000000000004,256,0.5,0.008751057520099944,0.8671428561210632,0.018952144123836768,0.8679816349322742,0.8479309946234499
128,0.5,192,0.2,0.007209319326897956,0.850000011920929,0.02892634884472884,0.8642667866547619,0.841507172920856
320,0.6,64,0.6,0.00010301017394224362,0.8428571462631226,0.03528311545949343,0.8548678247277317,0.8232932682549052
128,0.6,192,0.4,0.007704100384917633,0.8028571486473084,0.017261491739258988,0.8282289468062245,0.7720791849525865
