filters1,kernel_size,pool_size,filters2,filters3,dense_units,dropout,lr,cv_score,cv_std,cv_prec,cv_recall
64,5,2,128,128,192,0.30000000000000004,0.0021504215344282074,0.9157142758369445,0.01989769849252343,0.917559217806916,0.9111726844482598
48,5,2,96,96,448,0.1,0.0019893878475503203,0.9128571391105652,0.021380896485595165,0.9084368003595692,0.9044825333802315
48,3,2,96,64,256,0.5,0.0015014961907760683,0.9100000023841858,0.014708054339451665,0.9123283764477398,0.9052214979535951
16,3,2,96,128,384,0.30000000000000004,0.0025382243203853406,0.9071428656578064,0.021665355155115702,0.9043938046256998,0.8993910967549075
32,5,3,96,128,128,0.1,0.0007082715039818982,0.9057142734527588,0.01653690218168048,0.9049773400871125,0.8995967244605352
48,5,3,32,32,512,0.5,0.000643668170377436,0.9042857050895691,0.008571437994643685,0.9063748317161966,0.8985221598520831
32,5,3,64,128,320,0.2,0.0011098179091974917,0.9028571367263794,0.023299304110012808,0.9014381643206857,0.8963682596885922
32,3,3,128,128,256,0.5,0.0018532164121209196,0.9014285564422607,0.00699854900514668,0.8990324478881823,0.8941099790377285
32,5,2,64,64,192,0.2,0.0021233198096917887,0.9000000119209289,0.021665359085327955,0.9007329721362229,0.8880273672051165
16,3,2,32,64,256,0.4,0.0059195072811734474,0.9,0.017496342095990363,0.9032081962413232,0.8935498088157935
32,3,2,128,64,256,0.1,0.002629774817653709,0.8985714197158814,0.026108108666656346,0.9018029073908398,0.8930278045341984
48,5,2,96,96,320,0.30000000000000004,0.0014031767388896486,0.8985714197158814,0.014568638002775898,0.9004935016860915,0.8911141511940744
16,3,2,32,128,384,0.1,0.0002019592837379892,0.8985714197158814,0.01829464424227907,0.8992526734568733,0.890870609072655
48,3,3,96,128,384,0.5,0.0014319833413005392,0.8971428632736206,0.012453996239235848,0.9005279481318451,0.8872705880365727
64,5,2,32,32,64,0.4,0.00855770958534078,0.8971428513526917,0.0057142943143961185,0.9012388248834069,0.890566008444525
64,3,2,64,96,512,0.30000000000000004,0.000660722499375456,0.8971428394317627,0.022406272469710664,0.8950262604052146,0.8897192227352073
64,3,2,32,64,512,0.2,0.00502327522629524,0.895714282989502,0.010690447446301909,0.9002202495430117,0.8894763279488345
16,5,2,96,128,512,0.6,0.008779286555370922,0.8942857027053833,0.014568630989115417,0.8993882830873676,0.8854384105522213
32,5,2,128,128,448,0.4,0.0002808827836847869,0.8928571462631225,0.01628822722922266,0.8924000373327337,0.8844071736731584
32,3,3,64,64,512,0.5,0.0007789427935175452,0.8928571343421936,0.035571139588336464,0.8940569869534603,0.8855757031402811
64,3,2,32,128,192,0.30000000000000004,0.0004936498961125526,0.8899999976158142,0.018405852838954673,0.8878936194599136,0.8804505273782768
16,5,3,96,128,320,0.6,0.003537291260878888,0.8899999976158142,0.03368519829616955,0.8870036602581697,0.8794605942508754
64,5,3,32,64,64,0.5,0.006999998815033801,0.8899999976158142,0.02099561781522992,0.896149467043329,0.8803867035209745
64,3,3,96,32,512,0.5,0.0012002500073681574,0.8885714173316955,0.022406262589054208,0.8871899195015361,0.8794959016544694
16,3,2,32,128,512,0.6,0.00022866115907522807,0.8871428608894348,0.01142858415842202,0.8872617533653135,0.8778261616899725
48,5,2,32,96,192,0.2,0.00013557985954378135,0.8842857122421265,0.031428571180868864,0.8857458706188146,0.8792623673569965
32,3,3,96,128,64,0.30000000000000004,0.0006242557612186153,0.8828571319580079,0.02415932971917287,0.8823285347084378,0.8668053950170318
64,3,3,64,128,448,0.30000000000000004,0.00016375684379196865,0.8814285874366761,0.018405852838954673,0.8864092758634554,0.8742412755616081
32,5,3,96,64,64,0.2,0.00010818447795401081,0.8799999952316284,0.02449489144874672,0.8816262685669873,0.8690616680137142
16,3,3,64,64,128,0.6,0.00021239819348396375,0.877142858505249,0.02835633121137848,0.8803318482355701,0.8652110823248931
