units1,dropout1,units2,dropout2,lr,cv_score,cv_std,cv_prec,cv_recall
384,0.4,192,0.2,0.00020924595191673076,0.9242856979370118,0.012454004443784845,0.9230732876813439,0.9186243619977636
512,0.30000000000000004,256,0.6,0.0004542815732661726,0.922857129573822,0.027627262021812867,0.9246616642170888,0.9183505524739539
448,0.1,192,0.5,0.0011735484729410212,0.9214285731315612,0.014982991176865888,0.9251255230964276,0.9158155596889612
448,0.4,64,0.30000000000000004,0.0006600528210015756,0.9214285731315612,0.015649225878225596,0.9216643114703755,0.9165881301137055
448,0.1,192,0.6,0.0009949106476447895,0.9199999928474426,0.02364706446685287,0.9241128335156267,0.9148610142344158
192,0.2,192,0.1,0.0008559031736855665,0.9128571391105652,0.02941608031125207,0.9099414770083568,0.9073069016803033
320,0.30000000000000004,192,0.4,0.0005388213334717931,0.9128571391105652,0.02762725524123031,0.917695240547879,0.9072408662664417
448,0.5,128,0.1,0.001236434222402599,0.9071428537368774,0.017496342095990366,0.9097401372060883,0.8996950690684707
192,0.1,256,0.1,0.0013507042594256436,0.9071428537368774,0.018626280047413495,0.9132032250642226,0.9001301764447545
512,0.6,128,0.5,0.0007212454181084547,0.9057142972946167,0.026108097577824552,0.9075013101920291,0.8997507648645756
256,0.5,256,0.1,0.0012054682143500988,0.9057142972946167,0.03043895823161243,0.9095622174859287,0.8981343993460363
192,0.5,64,0.30000000000000004,0.0016046549825965487,0.9057142734527588,0.019378089783988316,0.9087814574822584,0.8999722360617503
384,0.30000000000000004,192,0.1,0.0032348828720215467,0.9042857170104981,0.029485377123828295,0.9083380474313978,0.8980927266822407
512,0.2,192,0.6,0.003400420538222921,0.9042857050895691,0.01726148581975475,0.9063440308528612,0.8971456121315458
448,0.1,64,0.2,0.003414962826731036,0.9042857050895691,0.030838612798639756,0.9044787525892991,0.9011319211479056
256,0.1,64,0.2,0.00010255183073925845,0.9028571486473084,0.026954220722160666,0.9074088606776183,0.8940284024018039
256,0.6,192,0.30000000000000004,0.0013868016325519167,0.899999988079071,0.015649225878225592,0.903581116866263,0.8904922637039006
256,0.5,256,0.2,0.002759866453514967,0.8985714316368103,0.03653346422051292,0.8999336217916781,0.8922950895367775
512,0.1,192,0.1,0.006759117248051905,0.895714282989502,0.01324804041536851,0.9004916893392124,0.8875550351893062
512,0.1,192,0.30000000000000004,0.006381467849613307,0.8942857146263122,0.02231500766501695,0.8974611679036031,0.8884054465000757
256,0.5,64,0.4,0.0038591074566364392,0.8942857027053833,0.01653691042017306,0.8979738633825456,0.883721811649561
192,0.5,192,0.5,0.002401502924470431,0.8914285778999329,0.037361979601525194,0.8926057440450699,0.8855259061058295
128,0.2,64,0.5,0.006129183618133049,0.8899999976158142,0.03516722642123072,0.8959184904228451,0.8740411689049796
192,0.30000000000000004,64,0.4,0.008083977941008137,0.8871428489685058,0.012289031898845068,0.8957660431796857,0.8705957158073525
192,0.1,192,0.1,0.008569905521819712,0.8828571438789368,0.02657296400278227,0.8891445426389767,0.8731733718114792
384,0.5,64,0.1,0.007554273099394239,0.8814285635948181,0.013997101660305612,0.886848436843066,0.8743323999813771
384,0.2,256,0.6,0.006842132984330047,0.8800000071525573,0.03510916197916045,0.8918580517476871,0.8751170833287201
384,0.4,256,0.2,0.009102209798135995,0.8671428561210632,0.018952144123836768,0.8815288492209545,0.8602453074774047
448,0.4,64,0.5,0.00952696747033435,0.8614285707473754,0.035456208784071824,0.871543902040537,0.8483282278250309
256,0.5,64,0.5,0.006902946232347283,0.8471428632736206,0.04299976587481061,0.8616173771226604,0.8297128855089214
