num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,cv_score,cv_std,cv_prec,cv_recall
2,256,0.1,256,0.5,0.000212916243290288,192,0.2,512,0.1,256.0,0.4,0.9285714268684387,0.0196915035298304,0.9294071090886946,0.9222002764215039
4,448,0.1,384,0.6,0.00023330563491507015,128,0.1,384,0.5,128.0,0.30000000000000004,0.9214285612106323,0.014285719394688812,0.9221929151986494,0.9150596308352063
5,64,0.1,384,0.4,0.0001325291053791257,512,0.6,128,0.30000000000000004,64.0,0.30000000000000004,0.9199999928474426,0.020898190168208035,0.9244360246601936,0.9155897770175263
2,256,0.1,64,0.6,0.0006920622170941523,256,0.5,64,0.6,128.0,0.5,0.9199999928474426,0.015252969697081252,0.9232876405537598,0.9142304696582191
2,256,0.4,192,0.2,0.0004917677957250333,448,0.6,512,0.4,256.0,0.2,0.9185714244842529,0.014708046234412884,0.920274749987154,0.913787293837166
2,512,0.30000000000000004,320,0.5,0.00011920136569643455,128,0.2,128,0.30000000000000004,192.0,0.4,0.9185714244842529,0.018405852838954673,0.921836351457579,0.9123222570978327
2,320,0.1,384,0.6,0.0011697033399028763,384,0.5,384,0.5,,,0.9171428561210633,0.026954237149171317,0.9202807446035066,0.9107059030057751
3,320,0.30000000000000004,64,0.4,0.0002661414911220577,256,0.2,448,0.30000000000000004,384.0,0.4,0.9142857074737549,0.0216653512249093,0.9153780402043628,0.9071866149621904
4,448,0.2,192,0.2,0.000540657402715514,64,0.1,64,0.1,,,0.9114285707473755,0.03050592990391762,0.9152955937288956,0.9051483754239508
4,192,0.30000000000000004,384,0.5,0.00010342039040771425,512,0.1,256,0.2,320.0,0.2,0.908571434020996,0.038438930203212776,0.9129916685265049,0.9005762253518007
4,256,0.2,320,0.30000000000000004,0.001193677363426901,320,0.4,512,0.2,512.0,0.4,0.9071428537368774,0.020701951150448435,0.9126228766671627,0.9008915045596633
4,320,0.5,256,0.1,0.00017217123038194357,384,0.5,448,0.2,128.0,0.6,0.9071428537368774,0.037252585237895076,0.9077244418411938,0.9007834362994209
2,512,0.2,384,0.5,0.0017845434584725045,320,0.5,64,0.5,256.0,0.6,0.9057142972946167,0.021380896485595165,0.9075732770592106,0.8986894373032481
2,512,0.2,64,0.6,0.0021422825146324358,384,0.30000000000000004,384,0.2,128.0,0.5,0.9057142853736877,0.011428573727613555,0.9098232882565902,0.9021830840373042
2,256,0.2,128,0.6,0.0023699044940759216,320,0.5,192,0.30000000000000004,128.0,0.30000000000000004,0.9057142853736877,0.013850506290265838,0.9085412988799983,0.9006794750432858
5,256,0.5,512,0.30000000000000004,0.0006270538867968894,64,0.1,320,0.6,320.0,0.2,0.9028571486473084,0.015386178712005783,0.911255125124946,0.8960523051117679
2,384,0.5,64,0.30000000000000004,0.0029189145650628753,384,0.4,384,0.30000000000000004,,,0.9028571367263794,0.018952146819559427,0.9041914762560543,0.8963727280108355
5,448,0.4,128,0.4,0.0003080081519562612,128,0.30000000000000004,448,0.30000000000000004,64.0,0.1,0.9028571367263794,0.033380926374485385,0.909858238600364,0.8962422637039005
4,320,0.5,192,0.6,0.0002213681823054784,128,0.4,128,0.1,512.0,0.30000000000000004,0.9014285683631897,0.03331972414960468,0.9060535488890045,0.8922576191214299
2,320,0.30000000000000004,384,0.6,0.0025841642793806322,384,0.30000000000000004,512,0.4,384.0,0.1,0.8985714316368103,0.026496055121389847,0.9007637386170163,0.8904820824245376
3,512,0.6,192,0.2,0.0003005119239919036,320,0.5,512,0.30000000000000004,192.0,0.6,0.8971428632736206,0.03953814442179238,0.8955379560314949,0.8891224013979768
3,512,0.1,384,0.2,0.0018516174658228268,512,0.6,448,0.4,320.0,0.2,0.8942857027053833,0.02407471503219052,0.900465293392538,0.8918766781669595
5,128,0.6,384,0.30000000000000004,0.0007341550068485831,64,0.30000000000000004,448,0.30000000000000004,256.0,0.1,0.8842857122421265,0.022767673609241028,0.8846086476168722,0.874056524322509
4,256,0.30000000000000004,192,0.2,0.001587365850977194,256,0.1,384,0.5,,,0.877142870426178,0.030101859282179923,0.8923091619422887,0.8634211663585065
2,384,0.1,64,0.4,0.00994768506921568,64,0.1,448,0.6,320.0,0.1,0.8742857098579406,0.02099562673751407,0.882391553895121,0.8672695414134033
4,192,0.5,384,0.1,0.0023889707765900976,384,0.30000000000000004,448,0.6,192.0,0.5,0.8657142758369446,0.012289044370869513,0.8715366331997372,0.8546747572546805
5,64,0.6,64,0.5,0.000164990621482157,256,0.2,256,0.6,64.0,0.1,0.8142857074737548,0.02672612419124472,0.8324935045003157,0.7916743617990422
3,192,0.4,448,0.30000000000000004,0.007730142311214687,512,0.30000000000000004,448,0.6,512.0,0.6,0.804285728931427,0.02878492413964238,0.8358027459764372,0.7834701776626329
4,64,0.5,192,0.6,0.004151113548521628,192,0.4,384,0.2,64.0,0.5,0.7685714364051819,0.018952144123836768,0.7870887051990421,0.7382421068559177
5,128,0.6,384,0.5,0.005469451505533658,64,0.4,256,0.4,64.0,0.5,0.4242857098579407,0.013248027560694924,0.2868929728240563,0.34715909552226687
