num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b2_l1,kernel_size_b2_l1,pool_size_b2,filters_b1_l3,kernel_size_b1_l3,filters_b2_l2,kernel_size_b2_l2,filters_b2_l3,kernel_size_b2_l3,filters_b3_l1,kernel_size_b3_l1,filters_b3_l2,kernel_size_b3_l2,filters_b3_l3,kernel_size_b3_l3,pool_size_b3,cv_score,cv_std,cv_prec,cv_recall
1,1,64,5,3,320,0.5,0.0022743683539455622,64,5,112.0,5.0,3.0,128.0,3.0,48.0,3.0,32.0,3.0,64.0,5.0,32.0,5.0,32.0,5.0,3.0,0.9120842337608337,0.016142525641228228,0.9087982025153918,0.9026798675181029
1,2,64,3,2,448,0.1,0.0008568346101177826,64,5,96.0,5.0,2.0,16.0,5.0,112.0,5.0,16.0,5.0,32.0,3.0,16.0,3.0,96.0,5.0,3.0,0.9106871008872985,0.009574776620988679,0.9101261827268019,0.9020327564592272
1,2,16,3,2,448,0.5,0.0008221619210072158,128,5,16.0,3.0,2.0,112.0,3.0,32.0,5.0,48.0,5.0,16.0,5.0,16.0,3.0,48.0,3.0,3.0,0.9077572822570801,0.01172804247710988,0.9094614080449995,0.8992799455446516
1,3,96,5,2,512,0.4,0.002224479149483486,96,3,64.0,5.0,3.0,96.0,3.0,64.0,3.0,64.0,3.0,80.0,3.0,32.0,3.0,32.0,3.0,3.0,0.9063914060592652,0.01860042947776786,0.906242881876951,0.8972801675448736
3,2,128,5,3,256,0.6,0.0015109982951888408,128,3,64.0,5.0,2.0,32.0,3.0,16.0,5.0,32.0,5.0,80.0,5.0,48.0,5.0,32.0,3.0,3.0,0.9049108505249024,0.008263906576488345,0.9081542553070687,0.8918303640803641
1,1,128,3,2,320,0.30000000000000004,0.00033123013429151,16,3,,,,,,,,,,,,,,,,,0.9034615755081177,0.00728840556720413,0.9007336903722353,0.8923904624786978
1,3,112,3,2,512,0.4,0.002963090351838159,112,5,64.0,5.0,2.0,48.0,3.0,48.0,3.0,64.0,5.0,112.0,3.0,128.0,5.0,112.0,5.0,3.0,0.9034303069114685,0.015700479191174718,0.9078891502150352,0.8936720893485599
2,3,128,3,3,448,0.2,0.0004614988401492843,96,5,96.0,5.0,2.0,112.0,5.0,80.0,3.0,128.0,5.0,96.0,5.0,112.0,3.0,32.0,5.0,3.0,0.8991241812705993,0.020406024729711418,0.9005998688012754,0.8913562222091634
3,2,80,3,2,128,0.6,0.001153702080320627,96,3,112.0,5.0,2.0,112.0,3.0,112.0,3.0,96.0,5.0,96.0,3.0,32.0,5.0,48.0,3.0,3.0,0.8991137623786927,0.015916863255498934,0.8958065568538041,0.8906835060364472
3,1,80,3,3,384,0.5,0.0014030532430329746,64,5,112.0,5.0,2.0,48.0,5.0,64.0,5.0,16.0,3.0,80.0,3.0,64.0,5.0,112.0,3.0,3.0,0.8962569117546082,0.010732257958428599,0.8927297326721677,0.8851358869888282
3,1,32,3,2,192,0.30000000000000004,0.00414703306340739,32,3,32.0,3.0,3.0,32.0,5.0,32.0,3.0,112.0,3.0,16.0,5.0,32.0,3.0,32.0,5.0,2.0,0.8933583498001099,0.012497708280923815,0.8975765889634513,0.8827287500081618
3,1,96,3,2,192,0.4,0.004023995389189576,80,3,32.0,5.0,3.0,112.0,5.0,80.0,3.0,32.0,5.0,80.0,3.0,64.0,5.0,16.0,3.0,2.0,0.893316638469696,0.03157677409965312,0.8939738902308563,0.8884307587837
1,1,80,3,3,512,0.2,0.00023668462510856045,80,5,96.0,3.0,3.0,112.0,3.0,48.0,3.0,48.0,3.0,96.0,5.0,16.0,3.0,96.0,5.0,3.0,0.8904910922050476,0.00952577928317084,0.8914571709978898,0.8822511491776197
2,1,64,5,2,320,0.30000000000000004,0.0007974827929916284,64,3,96.0,5.0,2.0,96.0,5.0,48.0,3.0,64.0,3.0,64.0,3.0,16.0,3.0,96.0,3.0,3.0,0.8904702305793762,0.011713859337299223,0.8836971653255137,0.8755567798214858
1,2,80,5,2,256,0.1,0.001480057884012148,48,5,,,,,,,,,,,,,,,,,0.8890626668930054,0.008466115660049022,0.8850777816692814,0.8821497146644205
3,1,80,3,3,64,0.4,0.000596718786458907,80,5,128.0,3.0,2.0,32.0,3.0,128.0,5.0,80.0,3.0,32.0,5.0,96.0,5.0,16.0,3.0,3.0,0.8890418171882629,0.02560784922050948,0.8823001181824711,0.8766140836287896
1,1,32,5,2,128,0.5,0.0007703289445934244,64,5,96.0,3.0,3.0,112.0,3.0,48.0,3.0,80.0,3.0,64.0,5.0,32.0,3.0,80.0,5.0,3.0,0.889041805267334,0.0074416972207591425,0.8859665392227312,0.8742408898291252
2,1,80,3,2,128,0.2,0.0016237485192373132,80,3,16.0,5.0,2.0,,,,,,,,,,,,,,0.8890313863754272,0.020752952219103015,0.8861403981071501,0.8768287415199181
