num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,cv_score,cv_std,cv_prec,cv_recall
5,448,0.1,512,0.2,0.00035592259401147987,64,0.6,448.0,0.6,64.0,0.30000000000000004,0.9250860333442688,0.005591913016551078,0.9235038903641339,0.9158647300412006
2,384,0.1,448,0.4,0.00041139485306494105,512,0.6,320.0,0.1,256.0,0.2,0.9221978902816772,0.01782322848568178,0.9188932243666057,0.9160715787480493
3,192,0.30000000000000004,256,0.30000000000000004,0.0003357459276085053,64,0.30000000000000004,384.0,0.2,512.0,0.1,0.9193202018737793,0.00828450465533957,0.9157827152506787,0.9145559277323982
3,384,0.4,384,0.5,0.00043281002716118443,448,0.4,320.0,0.2,512.0,0.4,0.91642165184021,0.010803633144200875,0.914972928116588,0.9104243289390348
3,512,0.2,256,0.2,0.0001521873437549712,64,0.1,,,,,0.9149723649024963,0.010686859200785371,0.9121029255701151,0.9082608339373046
2,192,0.6,512,0.5,0.00015552215277690016,128,0.1,192.0,0.2,64.0,0.5,0.9106871008872985,0.014693316969135412,0.9111632006960448,0.9042497894262599
2,320,0.2,320,0.4,0.0005017394192931042,448,0.1,448.0,0.4,512.0,0.5,0.9106662392616272,0.014791644767447909,0.9067680154681769,0.9023334835099541
5,256,0.2,320,0.6,0.0002022076416751479,128,0.30000000000000004,256.0,0.6,384.0,0.30000000000000004,0.9106558322906494,0.018005794203485997,0.9116860135646648,0.9024538908803615
2,64,0.4,320,0.4,0.0013257717103432026,384,0.6,192.0,0.6,448.0,0.2,0.9092273950576782,0.008573977664867312,0.9077296152419991,0.9019556391321097
4,384,0.2,384,0.2,0.0005774378732847438,192,0.4,448.0,0.4,192.0,0.2,0.9092169642448426,0.013375280055430086,0.9102229660342799,0.9012665422812483
2,64,0.1,448,0.2,0.0015313710767521785,320,0.5,192.0,0.4,128.0,0.1,0.9063497066497803,0.010088456614564178,0.9027250598558648,0.897055420070126
5,448,0.4,448,0.6,0.00022419548935667316,192,0.2,128.0,0.1,256.0,0.6,0.9034928560256958,0.01840138134113973,0.9044610291190989,0.8933153072417779
3,384,0.1,256,0.4,0.0006635477373656421,256,0.5,448.0,0.1,,,0.9020539999008179,0.01390648577049942,0.8967220433243789,0.8902358785005845
4,384,0.30000000000000004,320,0.30000000000000004,0.0005110141491297823,128,0.6,320.0,0.5,128.0,0.5,0.9020435810089111,0.017263366791102304,0.8985767987602354,0.8916118440383146
4,64,0.30000000000000004,192,0.30000000000000004,0.000737956160144406,320,0.30000000000000004,128.0,0.1,128.0,0.1,0.9020018696784973,0.0075548402341155466,0.9014139154447204,0.8907407706672412
5,256,0.4,512,0.5,0.0004965327242071023,384,0.2,512.0,0.5,256.0,0.1,0.9006255984306335,0.018809150046197702,0.9031695343737342,0.8857328341593048
4,384,0.1,384,0.6,0.0005572109949030198,192,0.2,320.0,0.30000000000000004,256.0,0.4,0.8977061867713928,0.015288745203908218,0.8969311689208176,0.8821731079378138
4,512,0.2,384,0.1,0.0010699716949583299,64,0.6,64.0,0.1,,,0.8962673425674439,0.01606857260563432,0.8998262151505185,0.8856632730015083
5,320,0.6,448,0.4,0.00046933755927329213,128,0.4,320.0,0.2,256.0,0.5,0.8919090986251831,0.018899074839570228,0.8912752494958713,0.8793618440383145
4,192,0.6,128,0.5,0.00023824393969777363,384,0.5,384.0,0.2,128.0,0.5,0.8905223488807679,0.022806908979319834,0.8943179621929049,0.8809597461362169
5,128,0.4,256,0.30000000000000004,0.0007260656319300951,192,0.4,384.0,0.30000000000000004,384.0,0.6,0.8862058162689209,0.020385292393698917,0.8870530683925489,0.8743513186160244
4,448,0.5,128,0.2,0.0012630972366025235,512,0.1,256.0,0.1,384.0,0.2,0.8847356915473938,0.017561052401007752,0.8877936433191852,0.8705595907360614
5,320,0.5,448,0.6,0.0007467765358041775,320,0.30000000000000004,192.0,0.1,192.0,0.1,0.8833385586738587,0.023637466900486074,0.8855628542536269,0.8701082920347625
3,448,0.5,256,0.6,0.0017450034397126506,448,0.4,512.0,0.30000000000000004,128.0,0.30000000000000004,0.8789907217025756,0.019895738949299132,0.8838751201349464,0.8707952439717145
3,64,0.6,64,0.1,0.00020483019042061686,512,0.2,128.0,0.5,256.0,0.30000000000000004,0.8760921835899353,0.01138988547709612,0.880487138420575,0.861718598395069
5,64,0.1,256,0.6,0.002096527920915054,320,0.5,384.0,0.30000000000000004,64.0,0.1,0.8732353329658509,0.033509709186421134,0.8797878457971336,0.8560224138606491
5,384,0.4,64,0.6,0.001846808222764879,384,0.4,192.0,0.30000000000000004,448.0,0.5,0.8616724014282227,0.01896882911647103,0.8681039616558192,0.8451699362728775
3,512,0.5,448,0.30000000000000004,0.005337024633539518,320,0.6,64.0,0.30000000000000004,320.0,0.2,0.8343134164810181,0.024377732595233816,0.836613882430816,0.8113837665602371
4,384,0.4,256,0.4,0.004950753368098865,384,0.2,192.0,0.5,,,0.8156188011169434,0.038553846564068815,0.8183736923912249,0.7865786272550978
4,192,0.30000000000000004,512,0.30000000000000004,0.005898664581396315,128,0.4,512.0,0.5,128.0,0.6,0.7896361231803894,0.046662410010423795,0.771507349667876,0.7596689731836791
