num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b1_l3,kernel_size_b1_l3,filters_b2_l1,kernel_size_b2_l1,filters_b2_l2,kernel_size_b2_l2,filters_b2_l3,kernel_size_b2_l3,pool_size_b2,filters_b3_l1,kernel_size_b3_l1,pool_size_b3,filters_b3_l2,kernel_size_b3_l2,cv_score,cv_std,cv_prec,cv_recall
2,3,128,3,2,64,0.1,0.0010638404155204522,112,5,32.0,5.0,16.0,5.0,48.0,5.0,112.0,3.0,3.0,96.0,3.0,2.0,96.0,5.0,0.9128571510314941,0.013850521044854201,0.9148401497621448,0.9071953661570029
2,1,80,3,3,320,0.4,0.009509954648434607,32,5,96.0,3.0,48.0,5.0,112.0,3.0,128.0,5.0,2.0,112.0,5.0,3.0,128.0,3.0,0.9114285707473755,0.027701025490782405,0.9124559385701868,0.9068058664836158
2,1,32,5,3,320,0.5,0.0005430660177460251,48,3,64.0,5.0,32.0,5.0,96.0,3.0,64.0,3.0,2.0,112.0,3.0,2.0,16.0,5.0,0.9114285707473755,0.019999997956420157,0.9109266268124122,0.9047902890658646
3,2,80,5,2,512,0.5,0.0012002500073681574,16,5,128.0,5.0,112.0,5.0,128.0,5.0,80.0,5.0,3.0,32.0,3.0,3.0,96.0,3.0,0.9100000023841858,0.007284314325631803,0.9098168808958349,0.9036673027171748
1,2,64,5,3,384,0.30000000000000004,0.0025382243203853406,80,3,48.0,5.0,48.0,3.0,96.0,5.0,16.0,3.0,2.0,32.0,5.0,3.0,16.0,3.0,0.9100000023841858,0.013997074893466077,0.9097487953910554,0.8987377944590221
3,1,96,3,3,512,0.6,0.004468949759449232,80,5,48.0,5.0,48.0,5.0,96.0,3.0,96.0,5.0,2.0,112.0,5.0,2.0,96.0,3.0,0.9057142853736877,0.014568622806510508,0.9047502541490158,0.8965961773378653
1,1,96,5,2,512,0.6,0.00029455410688347433,64,3,64.0,3.0,96.0,3.0,16.0,5.0,128.0,3.0,2.0,112.0,5.0,3.0,32.0,5.0,0.9042857170104981,0.02147613600683514,0.9073136648091891,0.8984749295887404
1,2,96,5,2,512,0.1,0.000843009678837652,48,5,48.0,3.0,128.0,3.0,80.0,5.0,16.0,3.0,2.0,32.0,3.0,2.0,80.0,3.0,0.9042857170104981,0.007284323677170354,0.9049754416161603,0.8933543919138549
3,1,96,5,2,128,0.1,0.0029337451866963586,112,3,64.0,5.0,80.0,5.0,64.0,3.0,16.0,5.0,3.0,112.0,3.0,2.0,112.0,5.0,0.9042857050895691,0.022406279310168437,0.9069473051887911,0.8949965927082296
1,3,96,5,3,64,0.4,0.0009213238138088548,80,3,112.0,3.0,128.0,5.0,48.0,3.0,32.0,5.0,3.0,128.0,3.0,2.0,128.0,5.0,0.9028571367263794,0.022857139259581348,0.9055749973109106,0.8924239235473251
1,2,16,3,2,448,0.5,0.0008221619210072158,128,5,16.0,3.0,16.0,5.0,64.0,3.0,112.0,3.0,3.0,,,,,,0.9014285802841187,0.012289033284633898,0.9030345423836271,0.8937887809121825
2,3,64,3,2,192,0.4,0.000824033711985718,16,5,112.0,3.0,80.0,3.0,96.0,5.0,80.0,5.0,3.0,96.0,5.0,3.0,,,0.9014285683631897,0.009476073859080529,0.9055953116199247,0.8903181124076266
2,3,128,3,3,320,0.2,0.0011098179091974917,64,5,16.0,5.0,112.0,5.0,80.0,3.0,112.0,3.0,2.0,32.0,5.0,2.0,64.0,3.0,0.9000000119209289,0.028571426868441205,0.8990293164643346,0.89316137386342
1,2,80,5,3,384,0.6,0.007342149847880265,112,3,128.0,3.0,32.0,3.0,32.0,5.0,64.0,5.0,3.0,,,,,,0.899999988079071,0.015649225878225592,0.904231914488746,0.8884147774646497
3,1,16,3,2,512,0.2,0.00502327522629524,48,5,80.0,5.0,64.0,3.0,48.0,3.0,112.0,5.0,2.0,128.0,5.0,2.0,64.0,5.0,0.8971428632736206,0.033685225596410226,0.8998551627378321,0.889748470057933
2,3,16,3,2,192,0.6,0.009592209502279035,80,3,32.0,5.0,16.0,3.0,16.0,3.0,16.0,3.0,2.0,,,,,,0.895714282989502,0.023733201729192986,0.8972520452842503,0.8856693445088586
1,3,16,5,3,512,0.6,0.008779286555370922,80,5,48.0,3.0,80.0,3.0,32.0,3.0,96.0,5.0,2.0,96.0,5.0,3.0,64.0,5.0,0.895714271068573,0.019999991144459304,0.8905899344332848,0.8838731343251803
3,2,32,5,2,128,0.30000000000000004,0.0032784026376644704,64,3,64.0,5.0,48.0,3.0,48.0,5.0,112.0,5.0,3.0,64.0,3.0,2.0,16.0,3.0,0.8942857146263122,0.013850501372062804,0.8959863690660903,0.8845247146289346
2,3,16,3,3,64,0.30000000000000004,0.0007571365012414374,64,3,112.0,3.0,64.0,3.0,80.0,5.0,128.0,3.0,2.0,,,,,,0.8928571343421936,0.024743581490440793,0.8958750715057218,0.8843792846113818
1,3,16,5,2,448,0.1,0.0010607864454821008,64,5,16.0,3.0,,,,,,,,,,,,,0.8914285778999329,0.009476070264778393,0.8899528032294354,0.8804926881160897
1,2,80,3,2,384,0.1,0.00024633804565953347,16,3,,,,,,,,,,,,,,,0.8914285659790039,0.021852928949518798,0.8912732471645851,0.8816119034418268
3,1,32,5,3,384,0.2,0.002057617593747636,112,3,48.0,3.0,48.0,3.0,96.0,5.0,16.0,3.0,3.0,96.0,5.0,3.0,,,0.8914285659790039,0.018844147082733877,0.8926942866367217,0.8827979890243318
2,3,128,3,3,128,0.30000000000000004,0.00015170757748329464,48,5,96.0,5.0,96.0,5.0,16.0,5.0,96.0,3.0,2.0,,,,,,0.8899999976158142,0.020995634037558848,0.886586335692844,0.8826928242970442
1,3,16,3,2,64,0.5,0.0022073259922153685,32,3,48.0,3.0,48.0,3.0,112.0,3.0,16.0,3.0,2.0,,,,,,0.8899999976158142,0.024578071419475902,0.8912818534272295,0.8819547260781275
2,3,48,5,2,128,0.4,0.0002567242062548327,16,5,64.0,3.0,64.0,3.0,16.0,5.0,64.0,3.0,3.0,16.0,5.0,2.0,112.0,3.0,0.8871428608894348,0.026496060263255915,0.8832848582655286,0.878780281241918
2,1,64,5,2,192,0.2,0.007833693986724967,32,3,96.0,3.0,128.0,3.0,96.0,5.0,96.0,5.0,3.0,16.0,5.0,2.0,128.0,5.0,0.8842857122421265,0.01989769678078147,0.8876073003077647,0.8755692256734455
2,2,96,5,3,384,0.30000000000000004,0.009316719864983431,80,5,16.0,5.0,16.0,5.0,16.0,5.0,16.0,3.0,2.0,64.0,5.0,2.0,16.0,5.0,0.8785714268684387,0.028212009962445068,0.8772920571987202,0.8626128013787862
3,1,16,5,3,384,0.30000000000000004,0.0018740495093822753,48,3,96.0,3.0,80.0,3.0,16.0,5.0,32.0,3.0,2.0,112.0,3.0,3.0,80.0,5.0,0.8785714268684387,0.01969149920566495,0.8759824287466771,0.8683092830017382
3,1,80,3,2,448,0.2,0.0001767561654340973,112,3,48.0,3.0,96.0,3.0,16.0,3.0,80.0,3.0,3.0,16.0,3.0,2.0,,,0.872857141494751,0.03568570644758777,0.8741517145169183,0.8613700163860012
1,1,64,3,3,512,0.6,0.00022866115907522807,16,3,112.0,3.0,48.0,3.0,128.0,3.0,128.0,3.0,2.0,64.0,5.0,3.0,64.0,3.0,0.8700000166893005,0.013850512438004349,0.878313285498297,0.8573837219188881
