num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b2_l1,kernel_size_b2_l1,filters_b2_l2,kernel_size_b2_l2,pool_size_b2,cv_score,cv_std,cv_prec,cv_recall,filters_b3_l1,kernel_size_b3_l1,filters_b3_l2,kernel_size_b3_l2,pool_size_b3,filters_b1_l3,kernel_size_b1_l3,filters_b2_l3,kernel_size_b2_l3,filters_b3_l3,kernel_size_b3_l3
1,2,32,3,2,384,0.4,0.0018614191986076204,112,3,80,3,112,3,3,0.9193201899528504,0.011434240070367177,0.9177963659745529,0.9112966233113292,,,,,,,,,,,
2,2,128,3,2,512,0.5,0.0051371075077117,112,5,112,5,48,3,2,0.9077781319618226,0.017279612857432364,0.9057436261746062,0.8987135119782179,96.0,3.0,128.0,5.0,3.0,48.0,3.0,16.0,5.0,96.0,5.0
1,1,32,5,3,384,0.2,0.00359800375100564,32,3,64,5,112,3,2,0.9063392758369446,0.017624299202470155,0.9088023503283633,0.8981072734455087,48.0,3.0,16.0,5.0,2.0,80.0,3.0,64.0,3.0,128.0,5.0
1,3,48,3,2,448,0.5,0.0010104015908082703,112,3,80,3,96,3,3,0.9063080072402954,0.018399938879533707,0.9036555875325224,0.8958083697348403,80.0,5.0,64.0,5.0,2.0,96.0,5.0,48.0,3.0,64.0,3.0
1,1,32,3,3,320,0.30000000000000004,0.001592797574789083,80,5,32,5,80,5,2,0.900573456287384,0.009570668384228135,0.901466766120017,0.8900776919159273,96.0,5.0,32.0,5.0,3.0,80.0,3.0,128.0,5.0,64.0,3.0
1,2,16,3,2,192,0.30000000000000004,0.0017551686493391067,16,3,128,3,112,5,2,0.8991554617881775,0.009998823316617928,0.8963618207856664,0.8868756521256522,112.0,5.0,112.0,3.0,2.0,48.0,3.0,48.0,5.0,80.0,5.0
1,2,48,5,3,256,0.6,0.0005935157243286463,112,3,80,3,16,5,3,0.8991137504577636,0.01305888301193507,0.8978803603517225,0.8904920667567726,,,,,,,,,,,
2,3,112,5,2,64,0.30000000000000004,0.0005663063338213743,48,3,64,3,48,5,3,0.8991137504577636,0.017761049595607807,0.9033393428896526,0.8943375268522328,16.0,3.0,32.0,3.0,2.0,32.0,3.0,80.0,5.0,96.0,3.0
1,3,80,3,3,128,0.4,0.006820026103064649,112,3,64,5,112,5,2,0.897664487361908,0.023533439784858026,0.8959137374493412,0.8908508827773532,48.0,5.0,48.0,3.0,3.0,16.0,3.0,,,,
2,3,80,5,3,256,0.30000000000000004,0.0013046810082496503,16,3,48,5,48,5,3,0.896298599243164,0.020492000108241384,0.8981937566255105,0.8861668168432875,64.0,3.0,112.0,5.0,2.0,16.0,5.0,64.0,3.0,112.0,3.0
